alpha,condition,effective_theta,evaluations,executed_search,formula_theta,instance,raw_certificate_sha256,raw_cost_increment_pct,raw_minimum_profit_ratio,raw_profit_ratio_json,raw_solution_sha256,raw_total_cost,reused_from_alpha0,seed,source_alpha,spec_id,unrestricted_mu
0.5,geographic,0.9991951147716118,4000,True,0.9991951147716118,L-main-threeshift-15c-01,5443f574748ec8ed19f4c243d37c20dd08c5651224bd5fb04431d24e25db816c,-2.709049140016567,1.0092875111491715,"{""D0"": 1.0377653901582433, ""D1"": 1.0092875111491715}",9f53d48d1cc685e9b171f0b540cd3df1b3277d62de67da968878bc4b56d8e34a,931.4289515102267,False,1,0.5,L-main-threeshift-15c-01__geographic__seed1,0.9983902295432238
0.75,geographic,0.9995975573858059,4000,True,0.9995975573858059,L-main-threeshift-15c-01,e01de294efe0cf1546f3b29b66a4ec0cfc8073820251f1edae854db45ab11e4c,0.9725465464368731,1.0,"{""D0"": 1.0, ""D1"": 1.0}",78e3c9befb6cbe110a3b320455de560acd3f8d5362e4d23c99fe43dc913cac05,966.675238855624,False,1,0.75,L-main-threeshift-15c-01__geographic__seed1,0.9983902295432238
1.0,geographic,1.0,4000,True,1.0,L-main-threeshift-15c-01,e01de294efe0cf1546f3b29b66a4ec0cfc8073820251f1edae854db45ab11e4c,0.9725465464368731,1.0,"{""D0"": 1.0, ""D1"": 1.0}",78e3c9befb6cbe110a3b320455de560acd3f8d5362e4d23c99fe43dc913cac05,966.675238855624,False,1,1.0,L-main-threeshift-15c-01__geographic__seed1,0.9983902295432238
0.0,geographic,,4000,True,0.9983902295432238,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,0.9983902295432238,"{""D0"": 1.0154142506291826, ""D1"": 0.9983902295432238}",820045048b9966a6f12c9f0546c54fece1ddc2b0150d2e93b0993fd030ecfc15,957.3644242111433,False,2,0.0,L-main-threeshift-15c-01__geographic__seed2,0.9983902295432238
0.25,geographic,0.9987926721574178,4000,True,0.9987926721574178,L-main-threeshift-15c-01,e054cee4ad443581bc8484201885142c8bb520aa391d8ac5986494d3aa555bb4,-1.384127136769882,1.0011946346982339,"{""D0"": 1.0305323345467334, ""D1"": 1.0011946346982339}",c734a32379b7d57246d22e09dd55abe88e03ea6ef8566343fc1841f74701908c,944.1132834178561,False,2,0.25,L-main-threeshift-15c-01__geographic__seed2,0.9983902295432238
0.5,geographic,0.9991951147716118,4000,True,0.9991951147716118,L-main-threeshift-15c-01,a4c58b07e23b6808971a05c25a6a2c7678059401e102c977e4776a539fffe645,-2.632265734495917,1.0011946346982339,"{""D0"": 1.0475496062189955, ""D1"": 1.0011946346982339}",c067dde76ca5fb98abd57276bffa0520216129e4c47b7d33e64dfd8f908f143e,932.1640485183792,False,2,0.5,L-main-threeshift-15c-01__geographic__seed2,0.9983902295432238
0.75,geographic,0.9995975573858059,4000,True,0.9995975573858059,L-main-threeshift-15c-01,e01de294efe0cf1546f3b29b66a4ec0cfc8073820251f1edae854db45ab11e4c,0.9725465464368731,1.0,"{""D0"": 1.0, ""D1"": 1.0}",78e3c9befb6cbe110a3b320455de560acd3f8d5362e4d23c99fe43dc913cac05,966.675238855624,False,2,0.75,L-main-threeshift-15c-01__geographic__seed2,0.9983902295432238
1.0,geographic,1.0,4000,True,1.0,L-main-threeshift-15c-01,e01de294efe0cf1546f3b29b66a4ec0cfc8073820251f1edae854db45ab11e4c,0.9725465464368731,1.0,"{""D0"": 1.0, ""D1"": 1.0}",78e3c9befb6cbe110a3b320455de560acd3f8d5362e4d23c99fe43dc913cac05,966.675238855624,False,2,1.0,L-main-threeshift-15c-01__geographic__seed2,0.9983902295432238
0.0,geographic,,4000,True,0.9917513157353804,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,0.9917513157353804,"{""D0"": 1.0154142506291826, ""D1"": 0.9917513157353804}",4b4648032975778448c7c3eb131126b2882d71a274a2b3c99ee12eec413d1d2b,957.3644242111433,False,3,0.0,L-main-threeshift-15c-01__geographic__seed3,0.9917513157353804
0.25,geographic,0.9938134868015354,4000,True,0.9938134868015354,L-main-threeshift-15c-01,197af0bc0992cb883d09ccdbc2abc8795001e126c4cdbe3a9a5f771bcee0d485,0.31543909756584987,1.0,"{""D0"": 1.0, ""D1"": 1.0}",a5afc7013e9ac77f078a2a605db74b592d7f764a0acc616f319e6551ba95d68c,960.3843259112914,False,3,0.25,L-main-threeshift-15c-01__geographic__seed3,0.9917513157353804
0.5,geographic,0.9958756578676902,4000,True,0.9958756578676902,L-main-threeshift-15c-01,197af0bc0992cb883d09ccdbc2abc8795001e126c4cdbe3a9a5f771bcee0d485,0.31543909756584987,1.0,"{""D0"": 1.0, ""D1"": 1.0}",a5afc7013e9ac77f078a2a605db74b592d7f764a0acc616f319e6551ba95d68c,960.3843259112914,False,3,0.5,L-main-threeshift-15c-01__geographic__seed3,0.9917513157353804
0.75,geographic,0.9979378289338451,4000,True,0.9979378289338451,L-main-threeshift-15c-01,197af0bc0992cb883d09ccdbc2abc8795001e126c4cdbe3a9a5f771bcee0d485,0.31543909756584987,1.0,"{""D0"": 1.0, ""D1"": 1.0}",a5afc7013e9ac77f078a2a605db74b592d7f764a0acc616f319e6551ba95d68c,960.3843259112914,False,3,0.75,L-main-threeshift-15c-01__geographic__seed3,0.9917513157353804
1.0,geographic,1.0,4000,True,1.0,L-main-threeshift-15c-01,197af0bc0992cb883d09ccdbc2abc8795001e126c4cdbe3a9a5f771bcee0d485,0.31543909756584987,1.0,"{""D0"": 1.0, ""D1"": 1.0}",a5afc7013e9ac77f078a2a605db74b592d7f764a0acc616f319e6551ba95d68c,960.3843259112914,False,3,1.0,L-main-threeshift-15c-01__geographic__seed3,0.9917513157353804
0.0,mixed,,4000,True,1.208974548113247,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,1.208974548113247,"{""D0"": 1.3086097397551841, ""D1"": 1.208974548113247}",b2715c7ad6036a53c21d99cba9a49a04ca5aa11fdd98261554b7f73696fba740,957.3644242111433,False,1,0.0,L-main-threeshift-15c-01__mixed__seed1,1.208974548113247
0.25,mixed,1.0,0,False,1.1567309110849353,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,1.208974548113247,"{""D0"": 1.3086097397551841, ""D1"": 1.208974548113247}",b2715c7ad6036a53c21d99cba9a49a04ca5aa11fdd98261554b7f73696fba740,957.3644242111433,True,1,0.0,L-main-threeshift-15c-01__mixed__seed1,1.208974548113247
0.5,mixed,1.0,0,False,1.1044872740566234,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,1.208974548113247,"{""D0"": 1.3086097397551841, ""D1"": 1.208974548113247}",b2715c7ad6036a53c21d99cba9a49a04ca5aa11fdd98261554b7f73696fba740,957.3644242111433,True,1,0.0,L-main-threeshift-15c-01__mixed__seed1,1.208974548113247
0.75,mixed,1.0,0,False,1.0522436370283117,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,1.208974548113247,"{""D0"": 1.3086097397551841, ""D1"": 1.208974548113247}",b2715c7ad6036a53c21d99cba9a49a04ca5aa11fdd98261554b7f73696fba740,957.3644242111433,True,1,0.0,L-main-threeshift-15c-01__mixed__seed1,1.208974548113247
1.0,mixed,1.0,0,False,1.0,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,1.208974548113247,"{""D0"": 1.3086097397551841, ""D1"": 1.208974548113247}",b2715c7ad6036a53c21d99cba9a49a04ca5aa11fdd98261554b7f73696fba740,957.3644242111433,True,1,0.0,L-main-threeshift-15c-01__mixed__seed1,1.208974548113247
0.0,mixed,,4000,True,0.9838668704431057,L-main-threeshift-15c-01,05b2718a89ddc7508931e17fb1d4553442262f0932fa09fd55067f816e3f31af,0.0,0.9838668704431057,"{""D0"": 1.59569077547926, ""D1"": 0.9838668704431057}",984b3319169e6d985032c43cbd76a1ffa2e460ab36feffe3afc30a27b7178d38,967.785937592833,False,2,0.0,L-main-threeshift-15c-01__mixed__seed2,0.9838668704431057
0.25,mixed,0.9879001528323292,4000,True,0.9879001528323292,L-main-threeshift-15c-01,ef6ffa024229fd9c393d6aacb59e871c0d5bd9087a3b117cbc3c9377f5193966,-5.805840681302323,1.2443439755274501,"{""D0"": 1.3275612104464767, ""D1"": 1.2443439755274501}",e0c5177d7db5e3c79e995be9ab41545633bf2e229000d6c13031e0f5d3cb8572,911.5978279201452,False,2,0.25,L-main-threeshift-15c-01__mixed__seed2,0.9838668704431057
0.5,mixed,0.9919334352215529,4000,True,0.9919334352215529,L-main-threeshift-15c-01,86bf0822849233bd8366db69b9b6e383ca59443258300a1fcc8aa042707e9885,5.9923778716739236,1.1632972333418448,"{""D0"": 1.1632972333418448, ""D1"": 1.2132756553623782}",6a8659d8717c680d060d11782b289171fc56e551c145da896d31219709d6800a,1025.779327962318,False,2,0.5,L-main-threeshift-15c-01__mixed__seed2,0.9838668704431057
0.75,mixed,0.9959667176107765,4000,True,0.9959667176107765,L-main-threeshift-15c-01,86bf0822849233bd8366db69b9b6e383ca59443258300a1fcc8aa042707e9885,5.9923778716739236,1.1632972333418448,"{""D0"": 1.1632972333418448, ""D1"": 1.2132756553623782}",6a8659d8717c680d060d11782b289171fc56e551c145da896d31219709d6800a,1025.779327962318,False,2,0.75,L-main-threeshift-15c-01__mixed__seed2,0.9838668704431057
1.0,mixed,1.0,4000,True,1.0,L-main-threeshift-15c-01,86bf0822849233bd8366db69b9b6e383ca59443258300a1fcc8aa042707e9885,5.9923778716739236,1.1632972333418448,"{""D0"": 1.1632972333418448, ""D1"": 1.2132756553623782}",6a8659d8717c680d060d11782b289171fc56e551c145da896d31219709d6800a,1025.779327962318,False,2,1.0,L-main-threeshift-15c-01__mixed__seed2,0.9838668704431057
0.0,mixed,,4000,True,1.071478406387865,L-main-threeshift-15c-01,b3dfccfd9d1e991db100d0bf868e9cda97490ed941bdf82d37a6dd02c3dbed04,0.0,1.071478406387865,"{""D0"": 1.57440990148647, ""D1"": 1.071478406387865}",cd6f1a7a000ed9b594038a4c50cbc6d2b419bf9b635f1a36a3f525e523117826,957.2858945781319,False,3,0.0,L-main-threeshift-15c-01__mixed__seed3,1.071478406387865
0.25,mixed,1.0,0,False,1.053608804790899,L-main-threeshift-15c-01,b3dfccfd9d1e991db100d0bf868e9cda97490ed941bdf82d37a6dd02c3dbed04,0.0,1.071478406387865,"{""D0"": 1.57440990148647, ""D1"": 1.071478406387865}",cd6f1a7a000ed9b594038a4c50cbc6d2b419bf9b635f1a36a3f525e523117826,957.2858945781319,True,3,0.0,L-main-threeshift-15c-01__mixed__seed3,1.071478406387865
