alpha,condition,contract_sha256,dependency,eval_budget,execution,input_fingerprint,instance,seed,spec_id,task_id
1.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,8303fa5a5013acae7ceda0597f6b3391011087577140bd8a81e2c2a006a777f4,L-main-threeshift-15c-01,1,L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01__mixed__seed1__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,18cf5c34bbc0f1f71e600d31b8ee09d2cf91192457c17983dcd5a1e919a089e6,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01__mixed__seed2__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,18cf5c34bbc0f1f71e600d31b8ee09d2cf91192457c17983dcd5a1e919a089e6,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01__mixed__seed2__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,18cf5c34bbc0f1f71e600d31b8ee09d2cf91192457c17983dcd5a1e919a089e6,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01__mixed__seed2__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,18cf5c34bbc0f1f71e600d31b8ee09d2cf91192457c17983dcd5a1e919a089e6,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01__mixed__seed2__alpha_075
1.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,18cf5c34bbc0f1f71e600d31b8ee09d2cf91192457c17983dcd5a1e919a089e6,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01__mixed__seed2__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,329be3f8f0947a003fcad2ed472867da981f28dde67b9bf7855d5a5b301a8140,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01__mixed__seed3__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,329be3f8f0947a003fcad2ed472867da981f28dde67b9bf7855d5a5b301a8140,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01__mixed__seed3__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,329be3f8f0947a003fcad2ed472867da981f28dde67b9bf7855d5a5b301a8140,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01__mixed__seed3__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,329be3f8f0947a003fcad2ed472867da981f28dde67b9bf7855d5a5b301a8140,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01__mixed__seed3__alpha_075
