E_total,battery_kwh,cost_elec,cost_fix,cost_fuel,ev_routes,failure_reason,feasible,mask,route_count,source_profile,source_seed,source_solution_path,source_start,total_cost
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,1010110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,1010111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C019 and C034,False,1011000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1011001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C019 and C034,False,1011010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,1011011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,1011100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,1011101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C013 and C002,False,1011110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,6,charging_repair:No feasible charging insert between C051 and C052,False,1011111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C053 and D1,False,1100000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,1100001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C053 and D1,False,1100010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1100011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,1100100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1100101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,1100110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
