battery_kwh,category,constraint_scenario,cv_over_manifest,depot_charging_energy_share,depot_peak_capacity,depot_peak_concurrent,ev_over_manifest,fake_balance,in_practical_band,instance,manifest_num_cv,manifest_num_ev,public_charging_energy_share,size,source_artifact,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share
100.0,vanilla,unbounded_reference,False,,,,True,False,True,e2-vanilla-10c-01,1,1,,10,09l_stage_a,balanced_mixed,1,0.7,0.7563040028213719,0.6201117786576292,3,0.75
100.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-150c-01,10,10,,150,09l_stage_a,ev_heavy_mixed,7,0.8533333333333334,0.8607017990855945,0.7590575348177492,44,0.8627450980392157
100.0,vanilla,unbounded_reference,True,,,,True,True,True,e2-vanilla-15c-01,2,0,,15,09l_stage_a,balanced_mixed,4,0.2,0.21263332871588864,0.11534773171498758,1,0.2
100.0,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-200c-01,14,14,,200,09l_stage_a,all_cv,67,0.0,0.0,0.0,0,0.0
100.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-20c-01,2,1,,20,09l_stage_a,balanced_mixed,3,0.4,0.49732963042085027,0.3438848262338189,3,0.5
100.0,vanilla,unbounded_reference,False,,,,True,False,True,e2-vanilla-25c-01,2,1,,25,09l_stage_a,balanced_mixed,2,0.6,0.7046839299314547,0.5879245589460484,5,0.7142857142857143
100.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,3,0.76,0.7930035457926143,0.7531123231734501,14,0.8235294117647058
100.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-75c-01,6,5,,75,09l_stage_a,balanced_mixed,11,0.5333333333333333,0.559547917464835,0.45504264669902367,16,0.5925925925925926
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-100c-01,7,7,,100,09l_stage_a,ev_heavy_mixed,4,0.84,0.8736927304095934,0.7610208628186008,29,0.8787878787878788
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-10c-01,1,1,,10,09l_stage_a,all_ev,0,1.0,1.0,1.0,4,1.0
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-150c-01,10,10,,150,09l_stage_a,all_ev,0,1.0,1.0,1.0,53,1.0
113.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-15c-01,2,0,,15,09l_stage_a,balanced_mixed,2,0.6,0.62418617537055,0.43387378048217173,3,0.6
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-200c-01,14,14,,200,09l_stage_a,ev_heavy_mixed,3,0.945,0.9537528820816864,0.9066231504691376,71,0.9594594594594594
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-20c-01,2,1,,20,09l_stage_a,ev_heavy_mixed,1,0.85,0.8506729331339458,0.7343566514226715,6,0.8571428571428571
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-25c-01,2,1,,25,09l_stage_a,ev_heavy_mixed,1,0.8,0.8535795887281036,0.6721325420601498,7,0.875
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-50c-01,4,3,,50,09l_stage_a,all_ev,0,1.0,1.0,1.0,17,1.0
113.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-75c-01,6,5,,75,09l_stage_a,ev_heavy_mixed,2,0.88,0.9142904055607246,0.8499970626376392,24,0.9230769230769231
113.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-100c-01,7,7,,100,09l_stage_a,ev_heavy_mixed,4,0.82,0.8635892583581148,0.8254766472922592,30,0.8823529411764706
113.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-150c-01,10,10,,150,09l_stage_a,ev_heavy_mixed,6,0.8466666666666667,0.8688753293970097,0.7453595751093656,45,0.8823529411764706
113.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-200c-01,14,14,,200,09l_stage_a,ev_heavy_mixed,2,0.945,0.9663390582807666,0.9424920572429369,68,0.9714285714285714
113.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,1,0.92,0.9348281549502965,0.8950316263875746,15,0.9375
113.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-75c-01,6,5,,75,09l_stage_a,all_cv,26,0.0,0.0,0.0,0,0.0
