instance_id,seed,depot_id,base_all_cv_routes_Rd,num_cv,num_ev,total_fleet_cap,routes_used,cv_used,ev_used,cv_idle,ev_idle,total_idle,required_ev_by_completer
cn-cy-25c-03-V2-LOCATIONS,2,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-25c-03-V2-LOCATIONS,3,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-25c-03-V2-LOCATIONS,4,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-25c-03-V2-LOCATIONS,5,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-01-V2-LOCATIONS,1,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-01-V2-LOCATIONS,1,D_chongqing,5,5,2,7,5,4,1,1,1,2,0
cn-cy-50c-01-V2-LOCATIONS,2,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-01-V2-LOCATIONS,2,D_chongqing,5,5,2,7,5,4,1,1,1,2,0
cn-cy-50c-01-V2-LOCATIONS,3,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-01-V2-LOCATIONS,3,D_chongqing,5,5,2,7,5,4,1,1,1,2,0
cn-cy-50c-01-V2-LOCATIONS,4,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-01-V2-LOCATIONS,4,D_chongqing,5,5,2,7,5,4,1,1,1,2,0
cn-cy-50c-01-V2-LOCATIONS,5,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-01-V2-LOCATIONS,5,D_chongqing,5,5,2,7,5,4,1,1,1,2,0
cn-cy-50c-02-V2-LOCATIONS,1,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-02-V2-LOCATIONS,1,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-02-V2-LOCATIONS,2,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-02-V2-LOCATIONS,2,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-02-V2-LOCATIONS,3,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-02-V2-LOCATIONS,3,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-02-V2-LOCATIONS,4,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-02-V2-LOCATIONS,4,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-02-V2-LOCATIONS,5,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-02-V2-LOCATIONS,5,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
cn-cy-50c-03-V2-LOCATIONS,1,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-03-V2-LOCATIONS,1,D_chongqing,6,6,2,8,5,5,0,1,2,3,0
cn-cy-50c-03-V2-LOCATIONS,2,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-03-V2-LOCATIONS,2,D_chongqing,6,6,2,8,5,5,0,1,2,3,0
cn-cy-50c-03-V2-LOCATIONS,3,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-03-V2-LOCATIONS,3,D_chongqing,6,6,2,8,5,5,0,1,2,3,0
cn-cy-50c-03-V2-LOCATIONS,4,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-03-V2-LOCATIONS,4,D_chongqing,6,6,2,8,5,5,0,1,2,3,0
cn-cy-50c-03-V2-LOCATIONS,5,D_chengdu,4,4,1,5,4,3,1,1,0,1,0
cn-cy-50c-03-V2-LOCATIONS,5,D_chongqing,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-01-V2-LOCATIONS,1,D_chengdu,5,5,2,7,5,4,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,1,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,2,D_chengdu,5,5,2,7,5,4,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,2,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,3,D_chengdu,5,5,2,7,5,4,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,3,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,4,D_chengdu,5,5,2,7,5,4,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,4,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,5,D_chengdu,5,5,2,7,5,4,1,1,1,2,0
cn-cy-75c-01-V2-LOCATIONS,5,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,1,D_chengdu,6,6,2,8,6,5,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,1,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,2,D_chengdu,6,6,2,8,6,5,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,2,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,3,D_chengdu,6,6,2,8,6,5,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,3,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,4,D_chengdu,6,6,2,8,6,5,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,4,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,5,D_chengdu,6,6,2,8,6,5,1,1,1,2,0
cn-cy-75c-02-V2-LOCATIONS,5,D_chongqing,7,7,2,9,7,6,1,1,1,2,0
