update_index,policy_version_before,policy_version_after,curriculum_phase,learning_rate,entropy_coef,clip_range,device,valid_steps,valid_episodes,stale_episodes,shared_baseline_group_count,shared_baseline_skipped_group_count,checkpoint_path,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4,mask_invalid_rate_head_5,mask_invalid_rate_head_6,policy_loss,value_loss,entropy,approx_kl,clip_fraction,target_kl_hit,target_kl_value
58,58,59,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0059.pt,0.306547619047619,0.0,0.0,0.0,0.0,0.0,0.0,-5.9530142607400194e-05,2875.51318359375,7.309626579284668,5.8238705605617724e-05,0.0,0.0,7.81714916229248e-05
59,59,60,carbon,1e-05,0.005,0.1,cuda,56,14,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0060.pt,0.30867346938775514,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,-0.00010821010801009834,2816.43701171875,7.251864194869995,2.6613474346959265e-05,0.0,0.0,3.896440830430947e-05
60,60,61,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0061.pt,0.2916666666666667,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,-5.06862998008728e-05,2270.2879638671875,7.257094860076904,9.002288425108418e-05,0.0,0.0,0.00011172890663146973
61,61,62,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0062.pt,0.28869047619047616,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-9.847991168498993e-05,2021.5946044921875,7.303463459014893,2.4532278985134326e-05,0.0,0.0,1.8805265426635742e-05
62,62,63,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0063.pt,0.27380952380952384,0.0,0.049999999999999996,0.0,0.0,0.0,0.0,-0.0002118423581123352,2194.70947265625,7.291987180709839,6.932516953384038e-05,0.0,0.0,0.00011467933654785156
63,63,64,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0064.pt,0.28869047619047616,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,-3.946324250136968e-05,2039.6658935546875,7.249894618988037,3.635883331298828e-05,0.0,0.0,7.203221321105957e-05
64,64,65,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0065.pt,0.28273809523809523,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-2.25752601181739e-05,2862.1439208984375,7.288620233535767,0.00012737016004393809,0.0,0.0,0.0001596212387084961
65,65,66,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0066.pt,0.28571428571428575,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,1.264115167032287e-05,2739.694091796875,7.317251682281494,2.4447839678032324e-05,0.0,0.0,4.5677028538193554e-05
66,66,67,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0067.pt,0.27678571428571425,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,4.296749830245972e-05,2111.449951171875,7.309886932373047,7.755557817290537e-05,0.0,0.0,6.690621376037598e-05
67,67,68,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0068.pt,0.2976190476190476,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-6.75519277137937e-06,2791.2108154296875,7.278836488723755,0.0001532435453555081,0.0,0.0,0.00018842022109311074
