budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
16000,multidepot,e2-multidepot-15c-01,1,621.371321439464,621.371321439464,0.0,0,0.0,621.371321439464,621.371321439464,0.0,0,0.0
16000,multidepot,e2-multidepot-15c-01,2,622.2834651918408,622.2834651918408,0.0,0,0.0,622.2834651918408,622.2834651918408,0.0,0,0.0
16000,multidepot,e2-multidepot-15c-01,3,621.371321439464,621.371321439464,0.0,0,0.0,621.371321439464,621.371321439464,0.0,0,0.0
16000,multidepot,e2-multidepot-20c-01,1,700.4933751651098,700.4933751651098,0.0,0,0.0,700.4933751651098,700.4933751651098,0.0,0,0.0
16000,multidepot,e2-multidepot-20c-01,2,705.750850756463,705.750850756463,0.0,0,0.0,705.750850756463,705.750850756463,0.0,0,0.0
16000,multidepot,e2-multidepot-20c-01,3,705.750850756463,705.750850756463,0.0,0,0.0,705.750850756463,705.750850756463,0.0,0,0.0
16000,multidepot,e2-multidepot-50c-01,1,1224.9465153636193,1224.9465153636193,0.0,0,0.0,1224.9465153636193,1224.9465153636193,0.0,0,0.0
16000,multidepot,e2-multidepot-50c-01,2,1192.7479646155844,1192.7479646155844,0.0,0,0.0,1192.7479646155844,1192.7479646155844,0.0,0,0.0
16000,multidepot,e2-multidepot-50c-01,3,1191.9803676825516,1191.9803676825516,0.0,0,0.0,1191.9803676825516,1191.9803676825516,0.0,0,0.0
16000,multidepot,e2-multidepot-75c-01,1,2023.3961804901403,2023.3961804901403,0.0,0,0.0,2023.3961804901403,2023.3961804901403,0.0,0,0.0
16000,multidepot,e2-multidepot-75c-01,2,2006.8388076374963,2006.8388076374963,0.0,0,0.0,2006.8388076374963,2006.8388076374963,0.0,0,0.0
16000,multidepot,e2-multidepot-75c-01,3,2001.7043548591696,2001.7043548591696,0.0,0,0.0,2001.7043548591696,2001.7043548591696,0.0,0,0.0
16000,threeshift,e2-threeshift-100c-01,1,2672.587337374461,2672.587337374461,0.0,0,0.0,2672.587337374461,2672.587337374461,0.0,0,0.0
16000,threeshift,e2-threeshift-100c-01,2,2666.462179895367,2666.462179895367,0.0,0,0.0,2666.462179895367,2666.462179895367,0.0,0,0.0
16000,threeshift,e2-threeshift-100c-01,3,2721.997756306055,2721.997756306055,0.0,0,0.0,2721.997756306055,2721.997756306055,0.0,0,0.0
16000,threeshift,e2-threeshift-150c-01,1,3901.223314120109,3901.223314120109,0.0,0,0.0,3901.223314120109,3901.223314120109,0.0,0,0.0
16000,threeshift,e2-threeshift-150c-01,2,3884.970113138324,3884.970113138324,0.0,0,0.0,3884.970113138324,3884.970113138324,0.0,0,0.0
16000,threeshift,e2-threeshift-150c-01,3,3899.3223684183135,3899.3223684183135,0.0,0,0.0,3899.3223684183135,3899.3223684183135,0.0,0,0.0
16000,threeshift,e2-threeshift-50c-01,1,1352.8899307919728,1352.8899307919728,0.0,0,0.0,1352.8899307919728,1352.8899307919728,0.0,0,0.0
16000,threeshift,e2-threeshift-50c-01,2,1334.4596675803778,1334.4596675803778,0.0,0,0.0,1334.4596675803778,1334.4596675803778,0.0,0,0.0
16000,threeshift,e2-threeshift-50c-01,3,1348.1179158618927,1348.1179158618927,0.0,0,0.0,1348.1179158618927,1348.1179158618927,0.0,0,0.0
16000,threeshift,e2-threeshift-75c-01,1,1924.2253454603042,1924.2253454603042,0.0,0,0.0,1924.2253454603042,1924.2253454603042,0.0,0,0.0
16000,threeshift,e2-threeshift-75c-01,2,1879.3851292337,1879.3851292337,0.0,0,0.0,1879.3851292337,1879.3851292337,0.0,0,0.0
16000,threeshift,e2-threeshift-75c-01,3,1889.2818120873555,1889.2818120873555,0.0,0,0.0,1889.2818120873555,1889.2818120873555,0.0,0,0.0
16000,vanilla,e2-vanilla-100c-01,1,2876.6979752439793,2876.6979752439793,0.0,0,0.0,2876.6979752439793,2876.6979752439793,0.0,0,0.0
