task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,1,3,6003,9223372036854775807,2807639,9223372036851968168,0.9999999999996956,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,2,12,6012,2807639,2679102,128537,0.0457811705849648,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,3,14,6014,2679102,2095427,583675,0.2178621791928788,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,4,23,6023,2095427,2001260,94167,0.04493928922362841,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,5,48,6048,2001260,1973455,27805,0.01389374693942816,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,6,51,6051,1973455,1972430,1025,0.0005193936522494813,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,7,58,6058,1972430,1961423,11007,0.005580426174819892,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,8,67,6067,1961423,1946396,15027,0.0076612744930593755,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,9,115,6115,1946396,1900224,46172,0.02372179145456526,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,10,148,6148,1900224,1899924,300,0.00015787612407800342,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,11,165,6165,1899924,1869272,30652,0.01613327691002377,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,12,561,6561,1869272,1843995,25277,0.013522376625766608,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,13,1097,7097,1843995,1830324,13671,0.007413794505950396,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,14,2728,8728,1830324,1820449,9875,0.005395219644172289,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,15,5719,11719,1820449,1813124,7325,0.004023732606626167,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,naive_ev,16,5891,11891,1813124,1798805,14319,0.007897419040286268,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,1,1,12001,9223372036854775807,3654343,9223372036851121464,0.9999999999996038,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,2,6,12006,3654343,2864106,790237,0.2162459845723294,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,3,7,12007,2864106,2769253,94853,0.033117838515753256,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,4,12,12012,2769253,2314083,455170,0.164365624953733,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,5,16,12016,2314083,1934520,379563,0.16402307090972967,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,6,17,12017,1934520,1892819,41701,0.02155625168000331,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,7,47,12047,1892819,1863379,29440,0.015553520965290396,PyVRP integer proxy objective
