summary_level,summary_label,row_count,solution_count,grid_day_count,asap_charging_emissions_kg,carbon_charging_emissions_kg,charging_emissions_reduction_pct,unit_reduction_min_pct,unit_reduction_q1_pct,unit_reduction_median_pct,unit_reduction_q3_pct,unit_reduction_max_pct,asap_system_total_emissions_kg,carbon_system_total_emissions_kg,system_total_emissions_reduction_pct,asap_charging_electricity_cost_cny,carbon_charging_electricity_cost_cny,charging_electricity_cost_reduction_pct,charging_energy_kwh,movable_energy_kwh,movable_energy_share_pct,immovable_energy_kwh,immovable_energy_share_pct,window_too_narrow_kwh,already_lowest_carbon_kwh,depot_capacity_constrained_kwh,unclassified_immovable_kwh,asap_violation_count,carbon_violation_count,max_independent_residual
region_x_customer_size,prd__50,420,15,28,17979.501529114226,6444.975930394533,64.15375632100715,30.953511236706813,53.519287386663464,69.89513372205408,83.73723823461569,95.56713182632792,67736.89760308314,56202.37200436344,17.028423218182187,21532.68744549103,58443.64727523914,-171.41826779953246,50257.708924808,45300.00222802472,90.13543035915019,4957.70669678328,9.864569640849819,0.0,4957.706696783276,0.0,0.0,0,0,0.0
region_x_customer_size,prd__75,420,15,28,20749.94952572868,8488.554899796449,59.091202177281666,27.85595949047135,49.34228892593227,64.6663319848396,79.05452532358711,95.57588671918859,101877.99235559268,89616.59772966044,12.035371273449657,22731.982360345657,64009.46515352718,-181.5832958993809,56435.43787728337,52381.78371851108,92.81718311889986,4053.654158772297,7.1828168811001465,0.0,4053.6541587722995,0.0,0.0,0,0,0.0
region_x_customer_size,prd__100,420,15,28,22083.926203369374,7735.9553146390135,64.97019939570923,28.799338109288918,54.685435511411804,70.3379277951833,83.92408687097287,95.56500526148518,125611.2980048163,111263.32711608594,11.42251621998223,20916.12163644134,64844.837849021635,-210.02323937553035,58770.59160182234,56328.5351505652,95.84476455877395,2442.0564512571436,4.1552354412260515,0.0,2442.056451257144,0.0,0.0,0,0,0.0
region_x_customer_size,prd__150,420,15,28,36245.79317070409,12467.189619502506,65.60376107432188,33.22581628286376,53.99874510058832,69.66358401265403,83.35198125023025,95.421939119742,194545.74523580127,170767.1416845997,12.222628422112479,27837.12553187063,103276.65327845878,-271.003296156486,92741.50909441324,92741.50909441324,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,prd__200,420,15,28,45912.31740338309,15402.550262337665,66.45224825614505,34.48372378879099,54.183746958035556,71.89000670297833,83.58106718921839,95.346721665094,266517.2248638704,236007.457722825,11.447577977982084,35505.3390044942,134260.25617072545,-278.141034377199,117406.38380181836,117406.38380181836,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__10,420,15,28,4011.752885273255,2299.2797751418334,42.68640564621364,16.789405874963755,27.49460697367569,35.71014884550908,48.522580665795594,92.84545573728414,15196.450680735834,13483.977570604411,11.26890183838969,5427.145674325915,10745.118458020786,-97.98839210917987,13510.98294760537,13510.98294760537,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__15,420,15,28,5019.774950201503,3120.3778417015988,37.83829210159429,11.404291037270173,20.571696414921302,31.99584288631469,47.8898120938564,92.81009782758768,28177.13353370091,26277.736425201005,6.740916730327292,6731.82897496197,11441.109664670723,-69.9554416373948,16759.016975936236,16759.016975936236,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__20,420,15,28,4825.496541442615,2838.9842835266195,41.16700200394536,16.7580646212506,26.520883635117574,34.78588315062455,48.15611659497641,92.80819418330726,38472.25292557133,36485.74066765533,5.163493444896822,6484.432605379533,12809.342212365767,-97.5399081446084,16143.118982532373,16143.118982532373,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__25,420,15,28,7732.584830312122,4598.730524999962,40.52790074836675,17.586339990790826,25.749289746600823,35.15563387271902,48.18564310541841,92.78988578104699,41435.63111034288,38301.77680503072,7.563187096068893,10404.726270308052,19725.514075005867,-89.58224909093985,25902.765034972897,25902.765034972897,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__50,420,15,28,9066.098527414173,5204.971010120935,42.58863397102862,14.848516248900104,27.31684274053011,37.669136304341336,50.94811951600997,93.10742577672934,68145.73888501122,64284.61136771798,5.665985255231415,15310.930548793242,32343.005650693533,-111.24127986618491,38608.15502599339,38608.15502599339,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__75,420,15,28,10074.591346193534,5501.218166467976,45.39512346030302,21.4436721747302,31.750552632769335,39.940158373926266,52.03841256376479,93.27906872537368,95019.71959390595,90446.34641418039,4.813077958208237,19219.376892524157,45984.371834137644,-139.2604718211462,48750.63308691881,48750.63308691881,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,cy__100,420,15,28,14267.035367222028,8346.029857201263,41.501302531456886,20.98273975368491,29.248642643309033,37.06711662862381,49.727537326045194,89.88630497614227,132747.65674897443,126826.65123895367,4.460346536449512,24286.23882179702,55333.85065275399,-127.8403463738139,61339.818698081704,60393.647725632276,98.45749304035843,946.1709724494285,1.5425069596415653,0.0,0.0,946.1709724494251,0.0,0,0,0.0
region_x_customer_size,cy__150,420,15,28,18069.5665589697,10376.502122379103,42.574703778778655,15.790858981161632,31.60028121525883,40.35779004579992,49.79421533570432,89.3378553730656,204664.33579652163,196971.27135993104,3.7588690802676417,31910.914392506118,76357.00433855556,-139.2817811466006,80774.79587182496,79556.36302131946,98.4915680227296,1218.4328505055018,1.508431977270404,0.0,0.0,1218.4328505055018,0.0,0,0,0.0
region_x_customer_size,cy__200,420,15,28,24976.717160573633,15802.244797868467,36.73209855291671,14.713736520958943,24.707737549887053,34.358990123020064,44.3834586386998,81.8342544276362,252684.52923717973,243510.05687447457,3.630800979546173,42935.76642301151,94903.56612751361,-121.03615245272493,108637.4458164369,105589.27066523374,97.19417634656689,3048.1751512031624,2.8058236534331074,0.0,0.0,3048.175151203154,0.0,0,0,0.0
