budget,category,instance,seed,profile,route_count,cv_route_count,ev_route_count,charging_action_count,cost_fix,cost_km,cost_carbon,cost_fuel,cost_elec,cost_occ,cost_transship,route_count_delta_vs_lns,cost_fix_delta_vs_lns,cost_fix_delta_vs_a0
4000,multidepot,e2-multidepot-20c-01,1,LNS_REFERENCE,3,2,1,1,240.0,256.2597294840396,15.946845654078611,173.98869661797863,14.29810340901287,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.924461159376794,198.48958502896556,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,2,LNS_REFERENCE,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,A4_BALANCED_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,250.5909694153628,17.943642119088754,198.70198866552863,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.924461159376794,198.48958502896556,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,249.6258482782549,17.900521157113015,198.2244813210952,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,3,LNS_REFERENCE,3,3,0,0,240.0,250.5909694153628,17.943642119088754,198.70198866552863,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,1,A0_MAIN_LOCAL_SEARCH,7,4,3,3,560.0,365.23720114364113,19.82761534522097,213.8216365647873,33.86151156193509,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,7,3,4,5,560.0,392.24510652494297,17.673321455944997,185.37309334826344,67.30866885458595,8.744611659303205,0.0,0.0,0.0,0.0
