declared_city,osm_type,osm_id,latitude,longitude,name,tag_country,boundary_memberships,gis_status,source_response_path
beijing,node,11066542605,39.8860596,116.4162147,全家,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11112157601,39.8778261,116.3021631,北京市首都公路发展集团有限公司,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11113067406,39.8801891,116.3609932,学校食堂,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11121020966,39.8371419,116.2889635,丰台区地震局,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11121077390,39.8377931,116.2867803,韩庄子第一社区服务中心,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11121090450,39.837829,116.2870208,韩庄子第二社区服务中心,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11126717019,39.8955849,116.413604,李先生,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11126874643,39.8956775,116.4171185,鸦儿李记涮肉,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11129761707,39.8957584,116.4166384,顺天府,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
beijing,node,11133498706,39.9683295,116.4162541,蜜雪冰城,,beijing,PASS_DECLARED_CITY_BOUNDARY,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/beijing__named_poi__e1__a1.json
