group_type,group_value,metric,statistic,value,unit
customer_size,150,demand_kg,value_208_count,274,order
customer_size,150,demand_kg,value_208_share,0.202963,fraction
customer_size,150,demand_kg,value_278_count,288,order
customer_size,150,demand_kg,value_278_share,0.213333,fraction
customer_size,150,demand_kg,value_347_count,272,order
customer_size,150,demand_kg,value_347_share,0.201481,fraction
customer_size,150,demand_kg,value_417_count,203,order
customer_size,150,demand_kg,value_417_share,0.150370,fraction
customer_size,150,service_minutes,value_6_count,313,order
customer_size,150,service_minutes,value_6_share,0.231852,fraction
customer_size,150,service_minutes,value_9_count,274,order
customer_size,150,service_minutes,value_9_share,0.202963,fraction
customer_size,150,service_minutes,value_12_count,288,order
customer_size,150,service_minutes,value_12_share,0.213333,fraction
customer_size,150,service_minutes,value_15_count,272,order
customer_size,150,service_minutes,value_15_share,0.201481,fraction
customer_size,150,service_minutes,value_18_count,203,order
customer_size,150,service_minutes,value_18_share,0.150370,fraction
customer_size,150,source_order_uid,unique_count,804,source_order
customer_size,150,source_order_uid,unique_share,0.595556,fraction
customer_size,200,demand_kg,n,1800,kg
customer_size,200,demand_kg,min,139.000000,kg
customer_size,200,demand_kg,p05,139.000000,kg
customer_size,200,demand_kg,p25,208.000000,kg
customer_size,200,demand_kg,median,278.000000,kg
customer_size,200,demand_kg,mean,272.784444,kg
customer_size,200,demand_kg,p75,347.000000,kg
customer_size,200,demand_kg,p95,417.000000,kg
customer_size,200,demand_kg,max,417.000000,kg
customer_size,200,demand_kg,std,98.691473,kg
customer_size,200,time_window_early_minute,n,1800,minute_after_midnight
customer_size,200,time_window_early_minute,min,667.784219,minute_after_midnight
customer_size,200,time_window_early_minute,p05,700.407833,minute_after_midnight
customer_size,200,time_window_early_minute,p25,758.435073,minute_after_midnight
customer_size,200,time_window_early_minute,median,812.958817,minute_after_midnight
customer_size,200,time_window_early_minute,mean,837.955692,minute_after_midnight
customer_size,200,time_window_early_minute,p75,930.317274,minute_after_midnight
customer_size,200,time_window_early_minute,p95,1025.047980,minute_after_midnight
customer_size,200,time_window_early_minute,max,1072.101186,minute_after_midnight
customer_size,200,time_window_early_minute,std,101.957232,minute_after_midnight
customer_size,200,time_window_width_minute,n,1800,minute
customer_size,200,time_window_width_minute,min,30.015509,minute
customer_size,200,time_window_width_minute,p05,31.346720,minute
customer_size,200,time_window_width_minute,p25,38.362723,minute
customer_size,200,time_window_width_minute,median,45.925743,minute
customer_size,200,time_window_width_minute,mean,45.396535,minute
customer_size,200,time_window_width_minute,p75,52.309839,minute
customer_size,200,time_window_width_minute,p95,58.436450,minute
customer_size,200,time_window_width_minute,max,59.974984,minute
customer_size,200,time_window_width_minute,std,8.505570,minute
customer_size,200,service_minutes,n,1800,minute
customer_size,200,service_minutes,min,6.000000,minute
customer_size,200,service_minutes,p05,6.000000,minute
customer_size,200,service_minutes,p25,9.000000,minute
customer_size,200,service_minutes,median,12.000000,minute
customer_size,200,service_minutes,mean,11.783333,minute
customer_size,200,service_minutes,p75,15.000000,minute
customer_size,200,service_minutes,p95,18.000000,minute
customer_size,200,service_minutes,max,18.000000,minute
customer_size,200,service_minutes,std,4.260650,minute
customer_size,200,demand_kg,value_139_count,404,order
customer_size,200,demand_kg,value_139_share,0.224444,fraction
customer_size,200,demand_kg,value_208_count,343,order
customer_size,200,demand_kg,value_208_share,0.190556,fraction
customer_size,200,demand_kg,value_278_count,361,order
customer_size,200,demand_kg,value_278_share,0.200556,fraction
customer_size,200,demand_kg,value_347_count,363,order
customer_size,200,demand_kg,value_347_share,0.201667,fraction
customer_size,200,demand_kg,value_417_count,329,order
customer_size,200,demand_kg,value_417_share,0.182778,fraction
customer_size,200,service_minutes,value_6_count,404,order
customer_size,200,service_minutes,value_6_share,0.224444,fraction
customer_size,200,service_minutes,value_9_count,343,order
customer_size,200,service_minutes,value_9_share,0.190556,fraction
customer_size,200,service_minutes,value_12_count,361,order
customer_size,200,service_minutes,value_12_share,0.200556,fraction
customer_size,200,service_minutes,value_15_count,363,order
customer_size,200,service_minutes,value_15_share,0.201667,fraction
customer_size,200,service_minutes,value_18_count,329,order
customer_size,200,service_minutes,value_18_share,0.182778,fraction
customer_size,200,source_order_uid,unique_count,932,source_order
customer_size,200,source_order_uid,unique_share,0.517778,fraction
all,ALL,source_order_uid,max_reuse_count,12,order
