instance_id,seed,contractor,revenue_assignment,owned_customer_revenue_cny,actual_service_revenue_cny,actual_minus_owned_revenue_cny,actual_service_cost_cny,pre_settlement_profit_cny,standalone_profit_cny,pre_settlement_gain_over_standalone_cny,pre_settlement_below_standalone,customers_served,demand_served_kg,cost_fixed_cny,cost_distance_cny,cost_fuel_cny,cost_electricity_cny,cost_occupancy_cny,cost_cross_site_cny,cost_carbon_cny
cn-prd-200c-01-V2-LOCATIONS,5,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,9999.0,1560.0,1032.2137889572682,8966.786211042732,6811.025385040664,2155.760826002068,False,23,6666.0,680.0,205.18837085079173,128.39100676995912,13.928083006199511,0.0,0.0,4.706328330317857
cn-prd-200c-01-V2-LOCATIONS,5,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,12706.5,5313.0,1523.3708824025325,11183.129117597467,6044.001115679948,5139.128001917519,False,31,8471.0,850.0,347.1302162826443,295.6984482658148,20.717975738970864,0.0,0.0,9.824242115102564
cn-prd-200c-01-V2-LOCATIONS,5,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,25315.5,-6873.0,3052.3754596880362,22263.124540311965,26958.02611482034,-4694.901574508374,True,64,16877.0,1870.0,587.1193016692406,539.457421322574,39.274726029195314,0.0,0.0,16.524010667026406
cn-prd-200c-01-V2-LOCATIONS,5,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,34063.5,0.0,3694.4546723831127,30369.04532761689,28860.40635362974,1508.6389739871483,False,82,22709.0,2380.0,694.5569365267617,556.0554076663218,46.19969187373237,0.0,0.0,17.64263631629735
cn-prd-200c-01-V2-LOCATIONS,6,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,12396.0,3957.0,1425.057952542434,10970.942047457565,6811.025385040664,4159.916662416901,False,30,8264.0,850.0,337.2206870355676,202.29265489192133,27.70231269456555,0.0,0.0,7.8422979203795355
cn-prd-200c-01-V2-LOCATIONS,6,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,12082.5,4689.0,1494.2423036665514,10588.257696333449,6044.001115679948,4544.2565806535,False,29,8055.0,850.0,337.6062161294171,275.6884708828604,21.597334228338568,0.0,0.0,9.350282425935388
cn-prd-200c-01-V2-LOCATIONS,6,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,24585.0,-7603.5,2789.29033094817,21795.70966905183,26997.77598247465,-5202.06631342282,True,62,16390.0,1700.0,546.2295926737386,490.1821671965365,37.970843006283545,0.0,0.0,14.907728071611189
cn-prd-200c-01-V2-LOCATIONS,6,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,33021.0,-1042.5,3564.3437178772574,29456.65628212274,28867.831222038898,588.8250600838437,False,79,22014.0,2380.0,591.0436401232249,538.219647218968,39.400375105704086,0.0,0.0,15.680055429360598
cn-prd-200c-01-V2-LOCATIONS,7,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,12187.5,3748.5,1399.1798241081974,10788.320175891802,6811.025385040664,3977.294790851138,False,31,8125.0,850.0,325.26368902682356,191.01851072236147,25.539598358836464,0.0,0.0,7.358026000175801
cn-prd-200c-01-V2-LOCATIONS,7,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,12082.5,4689.0,1490.474673125902,10592.025326874098,6044.001115679948,4548.02421119415,False,29,8055.0,850.0,338.5744056646221,270.3488899478386,22.29016827454833,0.0,0.0,9.261209238892972
