B_battery_kwh,E_cv_direct,E_ev_indirect,E_total,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,evidence_strength,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,route_regime,scenario_family,scenario_label,scenario_regime,source_seed,status,total_cost,trigger_eligible,v_speed_ms,violation_count
280.0,2856.27869988548,0.0,2856.27869988548,0.0,0.0,0.0,280.0,0.05034,0.0,0,143.78506975223507,0.0,3840.0,1592.2285515150347,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,strong,1111.0379956144266,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,2,OK,7530.794493007972,True,26.8,0
280.0,1462.6341069893795,159.39970216284442,1622.033809152224,81622.26747309242,55.98045238236908,0.19993018707988958,280.0,0.05034,0.0,35,81.65318195272296,363.0612239258548,4000.0,815.3433296483145,2002.8791971608873,0.0,0.0,15,35,363.0612239258548,1959.3158333829178,0.0,0.0,35,0,0,strong,568.936801094351,e2-threeshift-150c-01,152328.60900393798,104.59547716488667,0.37355527558888096,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,distribution_speed_battery,H_highway_60mph_distribution,highway_cross_city,2,OK,7262.936932687779,True,26.8,0
80.0,3021.7224013441783,0.0,3021.7224013441783,0.0,0.0,0.0,80.0,0.05034,0.0,0,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,baseline,1175.3924434010075,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,baseline,A_baseline,current,1,OK,8979.132837679645,False,25.0,0
80.0,1203.729306139963,193.05400660083635,1396.7833127407994,76885.92300633778,48.421785630328365,0.6052723203791046,80.0,0.05034,0.0,60,70.31407196337184,527.8404753790985,5440.0,671.0172118737138,2357.609657181772,27.059907930996374,0.0,13,55,483.46222637226447,2609.078393806067,0.0,16961.300027466976,55,5,5,baseline,468.2277662924526,e2-threeshift-200c-01,153518.26983322966,98.2756310412746,1.2284453880159325,fixed_replay,5,44.378249006834054,54.11981586199275,27.059907930996374,mixed,68,regional_cross_city_like,baseline,A_baseline,current,5,OK,9093.841324328952,False,25.0,0
89.0,3021.7224013441783,0.0,3021.7224013441783,0.0,0.0,0.0,89.0,0.05034,0.0,0,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,conditional,1175.3924434010075,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,1,OK,8979.132837679645,False,25.0,0
89.0,1203.729306139963,194.27300524504184,1398.0023113850048,76885.92300633778,48.34839310732489,0.5432403719924145,89.0,0.05034,0.0,58,70.37543635512114,502.9115631708471,5440.0,671.0172118737138,2355.4661315289545,8.01080417326721,0.0,13,55,489.77384432668896,2643.1400125563346,0.0,10836.941019418242,55,3,3,conditional,468.2277662924526,e2-threeshift-200c-01,153518.26983322966,97.06594098774698,1.0906285504241233,fixed_replay,3,13.137718844158226,16.02160834653442,8.01080417326721,mixed,68,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,5,OK,9047.781147101903,False,25.0,0
113.0,3021.7224013441783,0.0,3021.7224013441783,0.0,0.0,0.0,113.0,0.05034,0.0,0,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,conditional,1175.3924434010075,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,1,OK,8979.132837679645,False,25.0,0
113.0,1203.729306139963,196.154496621609,1399.883802761572,76885.92300633778,48.22082659321738,0.42673297870103877,113.0,0.05034,0.0,55,70.47015063101755,491.4425542247751,5440.0,671.0172118737138,2351.673202172158,0.0,0.0,13,55,491.4425542247751,2652.1454626269565,0.0,0.0,55,0,0,conditional,468.2277662924526,e2-threeshift-200c-01,153518.26983322966,96.90471841134459,0.8575638797464123,fixed_replay,0,0.0,0.0,0.0,mixed,68,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,5,OK,9024.603118901665,False,25.0,0
160.0,3021.7224013441783,0.0,3021.7224013441783,0.0,0.0,0.0,160.0,0.05034,0.0,0,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,diagnostic,1175.3924434010075,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,1,OK,8979.132837679645,False,25.0,0
160.0,1203.729306139963,196.154496621609,1399.883802761572,76885.92300633778,48.22082659321738,0.30138016620760866,160.0,0.05034,0.0,55,70.47015063101755,491.4425542247751,5440.0,671.0172118737138,2351.673202172158,0.0,0.0,13,55,491.4425542247751,2652.1454626269565,0.0,0.0,55,0,0,diagnostic,468.2277662924526,e2-threeshift-200c-01,153518.26983322966,96.90471841134459,0.6056544900709037,fixed_replay,0,0.0,0.0,0.0,mixed,68,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,5,OK,9024.603118901665,False,25.0,0
280.0,3021.7224013441783,0.0,3021.7224013441783,0.0,0.0,0.0,280.0,0.05034,0.0,0,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,strong,1175.3924434010075,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,1,OK,8979.132837679645,True,25.0,0
280.0,1203.729306139963,196.154496621609,1399.883802761572,76885.92300633778,48.22082659321738,0.17221723783291923,280.0,0.05034,0.0,55,70.47015063101755,491.4425542247751,5440.0,671.0172118737138,2351.673202172158,0.0,0.0,13,55,491.4425542247751,2652.1454626269565,0.0,0.0,55,0,0,strong,468.2277662924526,e2-threeshift-200c-01,153518.26983322966,96.90471841134459,0.3460882800405164,fixed_replay,0,0.0,0.0,0.0,mixed,68,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,5,OK,9024.603118901665,True,25.0,0
80.0,2702.844362034103,0.0,2702.844362034103,0.0,0.0,0.0,80.0,0.05034,0.0,0,136.06118518479676,0.0,4960.0,1506.696795275855,2182.5644213579935,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0,0,0,urban_only,1051.3549614652536,e2-threeshift-200c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,62,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,1,OK,8785.322401818645,False,11.1,0
