battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,phase,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
160.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
160.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4922.497317744614,3,30,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,3,30,0.9090909090909091,33,OK,4922.497317744614,free_mixed
160.0,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9404.797504818898,14,58,e2-threeshift-200c-01,screen,1,ev_heavy_mixed,14,58,0.8055555555555556,72,OK,9404.797504818898,free_mixed
160.0,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2276.5049608284216,1,15,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,15,0.9375,16,OK,2276.5049608284216,free_mixed
160.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
160.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
160.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
176.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
176.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
176.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4922.497317744614,3,30,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,3,30,0.9090909090909091,33,OK,4922.497317744614,free_mixed
176.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9299.43787055726,15,57,e2-threeshift-200c-01,screen,1,balanced_mixed,15,57,0.7916666666666666,72,OK,9299.43787055726,free_mixed
176.0,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2276.5049608284216,1,15,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,15,0.9375,16,OK,2276.5049608284216,free_mixed
176.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
176.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
176.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
180.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
180.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
180.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4922.497317744614,3,30,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,3,30,0.9090909090909091,33,OK,4922.497317744614,free_mixed
180.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9299.43787055726,15,57,e2-threeshift-200c-01,screen,1,balanced_mixed,15,57,0.7916666666666666,72,OK,9299.43787055726,free_mixed
180.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2242.517453956919,4,12,e2-threeshift-50c-01,screen,1,balanced_mixed,4,12,0.75,16,OK,2242.517453956919,free_mixed
180.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
180.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
180.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
194.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
194.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
194.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4922.497317744614,3,30,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,3,30,0.9090909090909091,33,OK,4922.497317744614,free_mixed
194.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9432.75951514173,15,57,e2-threeshift-200c-01,screen,1,balanced_mixed,15,57,0.7916666666666666,72,OK,9432.75951514173,free_mixed
194.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2242.517453956919,4,12,e2-threeshift-50c-01,screen,1,balanced_mixed,4,12,0.75,16,OK,2242.517453956919,free_mixed
194.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
194.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
194.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
200.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
200.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
200.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4922.497317744614,3,30,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,3,30,0.9090909090909091,33,OK,4922.497317744614,free_mixed
200.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9432.75951514173,15,57,e2-threeshift-200c-01,screen,1,balanced_mixed,15,57,0.7916666666666666,72,OK,9432.75951514173,free_mixed
200.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2242.517453956919,4,12,e2-threeshift-50c-01,screen,1,balanced_mixed,4,12,0.75,16,OK,2242.517453956919,free_mixed
200.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
200.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
200.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
210.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
210.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
