battery_kwh,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
113.0,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,4928.2946705646345,free_mixed
113.0,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
113.0,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
113.0,multidepot,ev_heavy_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9692.386396437145,free_mixed
113.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
113.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
113.0,threeshift,ev_heavy_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2205.4863878817205,free_mixed
113.0,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
113.0,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
113.0,threeshift,balanced_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5104.446063179639,free_mixed
113.0,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
113.0,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
113.0,threeshift,ev_heavy_mixed,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9861.814891052953,free_mixed
113.0,threeshift,all_cv,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9436.717673224872,cv_shell
113.0,threeshift,infeasible,500,e2-threeshift-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
123.9,vanilla,balanced_mixed,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1102.962645625529,free_mixed
123.9,vanilla,all_cv,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1237.6525942518206,cv_shell
123.9,vanilla,infeasible,500,e2-vanilla-25c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
123.9,vanilla,balanced_mixed,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,5791.222806301542,free_mixed
123.9,vanilla,all_cv,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,6119.29666327237,cv_shell
123.9,vanilla,infeasible,500,e2-vanilla-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
123.9,vanilla,balanced_mixed,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,10919.753117851043,free_mixed
123.9,vanilla,all_cv,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,11205.548171919037,cv_shell
123.9,vanilla,infeasible,500,e2-vanilla-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
123.9,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5091.1314467384545,free_mixed
123.9,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
123.9,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
123.9,multidepot,balanced_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9759.489596498928,free_mixed
123.9,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
123.9,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
123.9,threeshift,ev_heavy_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2188.1181589356925,free_mixed
123.9,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
123.9,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
123.9,threeshift,balanced_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,4917.466825822197,free_mixed
123.9,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
123.9,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
