instance_id,seed,n_clients,mother_cost,mother_cpu_seconds,mother_iterations,hybrid_cost,hybrid_cpu_seconds,cpu_ratio,hybrid_vs_mother,improvement_percent,epochs_run
PR16B,7,960,11637.406,240.1561849169666,3062,11522.738,480.8574273750419,2.0022695961017916,win,0.9853398601028569,4
PR16B,8,960,11655.32,240.11684208305087,2972,11503.726,480.88112400006503,2.0026963532767907,win,1.300642110212325,4
PR16B,9,960,11646.448,240.1644419579534,3001,11484.894,480.8769173749024,2.002281909239052,win,1.3871525464244556,4
PR16B,10,960,11673.586,240.15105945803225,3007,11493.109,480.76920170802623,2.001944954117695,win,1.5460287866984401,4
PR17A,2,360,6316.446,240.02034333406482,19410,6313.879,329.37079004209954,1.3722619735764443,win,0.04063994214468084,3
PR17A,1,360,6310.396,220.47434149996843,16354,6307.418,359.4942102499772,1.6305489691190602,win,0.047191967033448703,4
PR17A,4,360,6317.857,193.38214979192708,15164,6317.857,251.33034312503878,1.2996563715702927,tie,0.0,2
PR17A,3,360,6308.618,235.85647899995092,19076,6306.111,358.29470695892815,1.5191217492863645,win,0.039739289968112136,4
PR17A,5,360,6310.864,166.63448983302806,12946,6307.907,287.89576716697775,1.72770815606935,win,0.04685570787136952,4
PR17A,8,360,6313.809,108.63510533398949,8239,6308.664,188.3335480419919,1.7336343299247168,win,0.081488052616106,3
PR17A,10,360,6322.836,77.13209895789623,7024,6322.836,115.82090562500525,1.5015915188335263,tie,0.0,2
PR17A,7,360,6310.114,202.1774511660915,15387,6307.819,267.3892895830795,1.322547534558716,win,0.036370182852467695,3
PR17A,9,360,6311.144,184.64331841596868,15803,6311.144,234.01836916594766,1.267407730610353,tie,0.0,2
PR17A,6,360,6312.668,240.02438762492966,19316,6304.696,318.1689718340058,1.3255693514410192,win,0.12628574795949593,3
PR17B,2,360,4802.688,231.48913404205814,19667,4802.688,275.2834582920186,1.1891852264737561,tie,0.0,2
PR17B,1,360,4776.851,240.02216195792425,20031,4776.578,311.419960332918,1.2974633583523414,win,0.005715062077490563,3
PR17B,3,360,4820.239,188.04638750001322,13093,4814.056,285.2174636250129,1.516739924743265,win,0.12827164794110818,3
PR17B,4,360,4800.399,229.40888679097407,18721,4800.399,284.09732216596603,1.2383884780576149,tie,0.0,2
PR17B,6,360,4802.471,233.08992416702677,19972,4798.202,293.0259587080218,1.2571369601461033,win,0.08889173927337247,3
PR17B,5,360,4789.879,166.79835079202894,13888,4774.532,314.0895436669234,1.8830494556780313,win,0.3204047534394867,4
PR17B,9,360,4806.717,101.82844337495044,9262,4806.717,158.96241462498438,1.5610806701586952,tie,0.0,2
PR17B,7,360,4776.027,173.78945595794357,14097,4771.155,301.542689624941,1.735103478877989,win,0.10200947356454011,4
PR17B,10,360,4788.083,156.52563433302566,11546,4781.904,259.72725579107646,1.659327284618939,win,0.1290495590823964,3
PR17B,8,360,4803.888,197.92480241600424,13223,4792.826,325.2900792500004,1.643503367335924,win,0.23027181316466783,4
PR18A,2,520,8265.297,240.03099316603038,9755,8255.544,415.5832153749652,1.7313731443318434,win,0.11799938949562987,4
PR18A,1,520,8291.595,240.02763520902954,9639,8269.258,461.8608344999375,1.9241985786250118,win,0.26939328319822103,4
PR18A,3,520,8289.17,240.04176741593983,10588,8249.91,461.7963673330378,1.923816726998372,win,0.4736300498119862,4
PR18A,4,520,8345.374,240.04449566593394,11702,8301.416,480.2944717910141,2.000856009876736,win,0.5267349312325672,4
PR18A,6,520,8287.28,220.52687537495513,9975,8270.515,434.95779920800123,1.9723573304544209,win,0.2022979795542233,4
PR18A,5,520,8260.81,240.0642937910743,10708,8215.182,480.33931787509937,2.000877807730683,win,0.5523429300516389,4
PR18A,7,520,8311.287,240.0495682080509,9267,8287.936,444.42229933303315,1.8513772078433919,win,0.28095528406130804,4
PR18A,8,520,8313.176,240.05542774999049,8970,8267.0,468.38147212495096,1.951138853701547,win,0.5554555803942979,4
PR18A,9,520,8261.147,240.0642855000915,10846,8237.803,466.358782041003,1.9426412432382627,win,0.2825757730736538,4
PR18A,10,520,8290.79,240.03152433305513,10109,8284.586,449.41608233295847,1.8723210777488224,win,0.07483002222950456,4
PR18B,1,520,6512.351,240.04642124997918,9643,6475.249,448.72044116596226,1.869306940005052,win,0.569717449197684,4
PR18B,2,520,6519.672,240.05496041604783,10439,6503.876,437.0463680829853,1.820609610922118,win,0.24228212707632174,4
PR18B,3,520,6497.303,240.02976854203735,10211,6486.699,435.1324292089557,1.8128269333091045,win,0.16320617954865688,4
PR18B,4,520,6480.004,240.04951624991372,10992,6464.984,415.93072324991226,1.732687196157021,win,0.23178998037654802,4
PR18B,5,520,6510.836,240.04510241700336,11970,6509.225,346.3654751670547,1.4429183169309279,win,0.02474336628967273,3
PR18B,6,520,6511.558,240.0644550420111,11848,6501.12,385.5251874580281,1.60592365658865,win,0.16029957807332904,4
PR18B,7,520,6501.234,240.03010325005744,13134,6496.031,423.07636304199696,1.7625970964202204,win,0.0800309602761634,4
PR18B,8,520,6515.061,240.03951241704635,12811,6477.869,458.2167702920269,1.9089222673303796,win,0.5708618844858092,4
PR18B,9,520,6474.661,240.044405041961,12502,6462.527,435.7499196670251,1.8152887987156117,win,0.1874074951568895,4
PR18B,10,520,6479.04,240.04134166694712,12452,6473.021,444.33922187495045,1.8510945605839133,win,0.09289956536771239,4
PR19A,1,700,10818.886,240.06654166593216,6588,10650.927,480.4387074159458,2.0012730807132084,win,1.5524611313956052,4
PR19A,2,700,10790.511,240.06817062501796,6390,10712.854,480.379847208038,2.001014320046544,win,0.7196786139229279,4
PR19A,3,700,10708.592,240.05473429197446,6102,10652.15,480.39710824994836,2.0011982253415987,win,0.5270720931379299,4
PR19A,4,700,10805.549,240.08177137491293,6317,10751.035,478.7939598329831,1.9942953481682537,win,0.5045000490026099,4
PR19A,5,700,10790.437,240.0640037500998,6063,10741.112,480.46877920802217,2.0014195035594646,win,0.45711772377708826,4
PR19A,6,700,10748.429,240.07836495805532,6285,10678.831,480.42325779097155,2.001110170318377,win,0.647517883776317,4
PR19A,7,700,10790.873,240.07130220904946,5927,10687.035,480.4298954590922,2.0011966904763283,win,0.9622761754308455,4
