actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,evidence_role,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,track,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,best_of_k_destroy,1028.9711946103114,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,4,80,best_of_k_destroy,1028.9711946103114,80,DESTROY_LEVERAGE_GATE,,,50c,1203,10,best_of_k_destroy,greedy_insert_repair,track22,0,4.766000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,870.9902470270175,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,,80,,870.9902470270175,80,DESTROY_LEVERAGE_GATE,True,127054,50c,1201,80,,,track22,0,15.233999999938533,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,950.3976606107113,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,0,80,block_ppo,951.4944754617917,80,DESTROY_LEVERAGE_GATE,,,50c,1201,80,random_customer_removal,greedy_insert_repair,track22,0,9.484000000171363,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,891.3677589411418,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,4,80,best_of_k_destroy,891.3677589411418,80,DESTROY_LEVERAGE_GATE,,,50c,1201,10,best_of_k_destroy,greedy_insert_repair,track22,0,8.094000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,913.7719234467688,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,,80,,914.984970405862,80,DESTROY_LEVERAGE_GATE,True,136502,50c,1202,80,,,track22,0,13.530999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,931.7962830810608,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,0,80,block_ppo,931.7962830810608,80,DESTROY_LEVERAGE_GATE,,,50c,1202,80,random_customer_removal,regret2_insert_repair,track22,0,9.766000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,952.8782409424044,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,4,80,best_of_k_destroy,952.8782409424044,80,DESTROY_LEVERAGE_GATE,,,50c,1202,10,best_of_k_destroy,greedy_insert_repair,track22,0,8.061999999918044,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,862.677262947703,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,,80,,863.1151657185429,80,DESTROY_LEVERAGE_GATE,True,110799,50c,1203,80,,,track22,0,17.641000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,938.6957132821485,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,0,80,block_ppo,938.6957132821485,80,DESTROY_LEVERAGE_GATE,,,50c,1203,80,random_customer_removal,regret2_insert_repair,track22,0,9.562999999849126,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,920.8354312286011,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,4,80,best_of_k_destroy,920.8354312286011,80,DESTROY_LEVERAGE_GATE,,,50c,1203,10,best_of_k_destroy,greedy_insert_repair,track22,0,6.015000000130385,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
