instance_id,tier,seed,route_proxy_mode,status,cost,cpu_seconds,hgs_elapsed_seconds,hgs_iterations,violation_count,violations,error_type,error,reused_mechanism_ev_cost,reused_mechanism_ev_cpu_seconds,reused_mv_hgs_sp_cost,reused_mv_hgs_sp_cpu_seconds
cn-cy-15c-01-V2-LOCATIONS,15,4,naive_ev,OK,892.5949765633276,2.5659468340454623,2.4620495000854135,3217,0,[],,,892.5949765633276,1.7099855409469455,892.5949765633276,4.2614914999576285
cn-cy-15c-01-V2-LOCATIONS,15,5,cv_only,OK,893.3467194655217,2.4340278330491856,2.3156953339930624,3303,0,[],,,892.5949765633276,1.8004627499030903,892.5949765633276,3.958670999854803
cn-cy-15c-01-V2-LOCATIONS,15,5,naive_ev,OK,892.5949765633276,2.6356219589943066,2.5231826250674203,3235,0,[],,,892.5949765633276,1.8004627499030903,892.5949765633276,3.958670999854803
cn-cy-15c-02-V2-LOCATIONS,15,1,cv_only,OK,915.4579467626304,2.3651868340093642,2.2308887919643894,3005,0,[],,,912.7469762353063,1.8054505420150235,912.7469762353063,4.121502875932492
cn-cy-150c-03-V2-LOCATIONS,150,5,cv_only,OK,7565.120639243928,93.4039601670811,88.60484116699081,8073,0,[],,,7466.515132345643,147.09608433407266,7462.564359238112,379.7687673760811
cn-cy-15c-02-V2-LOCATIONS,15,2,cv_only,OK,915.4579467626304,2.5302694579586387,2.3989119170000777,3069,0,[],,,912.7469762353063,1.8102086669532582,912.7469762353063,4.087230124976486
cn-cy-15c-02-V2-LOCATIONS,15,1,naive_ev,OK,912.7469762353063,2.7609077079687268,2.6463066659634933,3326,0,[],,,912.7469762353063,1.8054505420150235,912.7469762353063,4.121502875932492
cn-cy-15c-02-V2-LOCATIONS,15,3,cv_only,OK,915.4579467626304,2.347684207954444,2.2239574580453336,3002,0,[],,,912.7469762353063,1.7729727920377627,912.7469762353063,4.072237125015818
cn-cy-15c-02-V2-LOCATIONS,15,2,naive_ev,OK,912.7469762353063,2.609383250004612,2.490384000004269,3533,0,[],,,912.7469762353063,1.8102086669532582,912.7469762353063,4.087230124976486
cn-cy-15c-02-V2-LOCATIONS,15,3,naive_ev,OK,912.7469762353063,2.551626041997224,2.417077500023879,3239,0,[],,,912.7469762353063,1.7729727920377627,912.7469762353063,4.072237125015818
cn-cy-15c-02-V2-LOCATIONS,15,4,cv_only,OK,915.4579467626304,2.865936083951965,2.3736030419822782,3022,0,[],,,912.7469762353063,2.4214987920131534,912.7469762353063,5.456959167029709
cn-cy-15c-02-V2-LOCATIONS,15,4,naive_ev,OK,912.7469762353063,2.955898999935016,2.837236166000366,3237,0,[],,,912.7469762353063,2.4214987920131534,912.7469762353063,5.456959167029709
cn-cy-15c-02-V2-LOCATIONS,15,5,cv_only,OK,915.4579467626304,2.7284614170202985,2.620527375023812,3010,0,[],,,912.7469762353063,2.384565791930072,912.7469762353063,5.701586792012677
cn-cy-15c-02-V2-LOCATIONS,15,5,naive_ev,OK,912.7469762353063,2.50869279098697,2.394142415956594,3205,0,[],,,912.7469762353063,2.384565791930072,912.7469762353063,5.701586792012677
cn-cy-15c-03-V2-LOCATIONS,15,1,cv_only,OK,954.9476936878672,2.3958928749198094,2.250988791929558,3011,0,[],,,900.0981071227476,2.681999708060175,900.0981071227476,5.941923042060807
cn-cy-15c-03-V2-LOCATIONS,15,2,cv_only,OK,954.9476936878672,2.42170870793052,2.3041924580466002,3099,0,[],,,900.0981071227476,1.8748049580026418,900.0981071227476,5.1917919990373775
cn-cy-15c-03-V2-LOCATIONS,15,1,naive_ev,OK,900.0981071227476,2.904954875004478,2.7829264169558883,3359,0,[],,,900.0981071227476,2.681999708060175,900.0981071227476,5.941923042060807
cn-cy-15c-03-V2-LOCATIONS,15,2,naive_ev,OK,900.0981071227476,2.931158541003242,2.822815209045075,3322,0,[],,,900.0981071227476,1.8748049580026418,900.0981071227476,5.1917919990373775
cn-cy-15c-03-V2-LOCATIONS,15,3,cv_only,OK,954.9476936878672,2.570246124989353,2.450857499963604,3060,0,[],,,900.0981071227476,2.1275535420281813,900.0981071227476,5.598022417048924
cn-cy-15c-03-V2-LOCATIONS,15,4,cv_only,OK,919.050172694428,2.6904625840252265,2.5739190420135856,3044,0,[],,,900.0981071227476,2.2348051669541746,900.0981071227476,4.917725999956019
cn-cy-15c-03-V2-LOCATIONS,15,3,naive_ev,OK,900.0981071227476,3.085242958040908,2.967566916020587,3410,0,[],,,900.0981071227476,2.1275535420281813,900.0981071227476,5.598022417048924
cn-cy-15c-03-V2-LOCATIONS,15,5,cv_only,OK,954.9476936878672,2.538759542047046,2.4421131249982864,3101,0,[],,,900.0981071227476,2.0683060419978574,900.0981071227476,5.748236250015907
cn-cy-15c-03-V2-LOCATIONS,15,4,naive_ev,OK,900.0981071227476,2.9220734159462154,2.8082119579194114,3116,0,[],,,900.0981071227476,2.2348051669541746,900.0981071227476,4.917725999956019
cn-cy-15c-03-V2-LOCATIONS,15,5,naive_ev,OK,900.0981071227476,3.545213207951747,3.4325605409685522,3740,0,[],,,900.0981071227476,2.0683060419978574,900.0981071227476,5.748236250015907
cn-cy-150c-03-V2-LOCATIONS,150,3,naive_ev,OK,7325.976275877713,199.41235129209235,194.46724987507332,15808,0,[],,,7460.394979432852,267.84184800006915,7323.840489083876,552.1287916671718
cn-cy-150c-03-V2-LOCATIONS,150,2,naive_ev,OK,7450.448199116651,227.67297658300959,222.76262654096354,19401,0,[],,,7472.724315449654,179.26400133303832,7459.806831375671,475.38965720811393
cn-cy-150c-03-V2-LOCATIONS,150,4,naive_ev,OK,7453.753937299551,226.18697554199025,221.23737149999943,17780,0,[],,,7306.961760646735,315.8591305410955,7191.84757918068,479.0758387070382
cn-cy-150c-03-V2-LOCATIONS,150,5,naive_ev,OK,7449.296103796833,184.2426286659902,178.07548266695812,15015,0,[],,,7466.515132345643,147.09608433407266,7462.564359238112,379.7687673760811
cn-cy-200c-01-V2-LOCATIONS,200,1,cv_only,OK,9390.71355197382,151.05397250002716,132.94574645801913,11180,0,[],,,9409.829373319903,435.6467370419996,9394.45940884666,596.7312101670541
cn-cy-200c-01-V2-LOCATIONS,200,2,cv_only,OK,9387.646861745814,202.56970870797522,184.80160599993542,15687,0,[],,,9517.98022172773,409.66043037502095,9392.027086804905,581.6229714580113
cn-cy-200c-01-V2-LOCATIONS,200,3,cv_only,OK,9389.28273698788,171.16080683399923,153.76817966706585,13208,0,[],,,9545.462627525578,308.50869970896747,9392.08437625392,488.1877913749777
cn-cy-200c-01-V2-LOCATIONS,200,4,cv_only,OK,9392.535010918758,144.52135945903137,127.37800704094116,10621,0,[],,,9522.460971573088,437.9732697500149,9387.070469979892,598.5720044170739
cn-cy-200c-01-V2-LOCATIONS,200,2,naive_ev,OK,9399.242288460928,388.73504170798697,370.0832605409669,21528,0,[],,,9517.98022172773,409.66043037502095,9392.027086804905,581.6229714580113
cn-cy-200c-01-V2-LOCATIONS,200,1,naive_ev,OK,9390.193755425857,446.3043687089812,428.30363370792475,27383,0,[],,,9409.829373319903,435.6467370419996,9394.45940884666,596.7312101670541
cn-cy-200c-01-V2-LOCATIONS,200,4,naive_ev,OK,9392.475288412657,289.4317945840303,271.7285570829408,17053,0,[],,,9522.460971573088,437.9732697500149,9387.070469979892,598.5720044170739
cn-cy-200c-01-V2-LOCATIONS,200,5,cv_only,OK,9390.076063119875,239.5357284169877,220.67663850006647,19229,0,[],,,9404.302474718737,435.2144183750497,9399.932319326746,604.1095387501409
cn-cy-200c-02-V2-LOCATIONS,200,1,cv_only,OK,9389.110098945228,138.56938200001605,121.26242354197893,10743,0,[],,,9384.208226299337,296.60312066599727,9384.208226299337,352.99528304103296
cn-cy-200c-01-V2-LOCATIONS,200,3,naive_ev,OK,9551.172675528655,452.3239559159847,434.3846973750042,25152,0,[],,,9545.462627525578,308.50869970896747,9392.08437625392,488.1877913749777
cn-cy-200c-02-V2-LOCATIONS,200,3,cv_only,OK,9387.084531303875,99.42481933301315,83.17454162507784,7539,0,[],,,9560.862254326546,288.1237360830419,9384.836565178775,440.60238270799164
cn-cy-200c-02-V2-LOCATIONS,200,2,cv_only,OK,9383.759882946484,148.16520533291623,130.1179979579756,12960,0,[],,,9388.796515828328,202.81517566693947,9384.05051649901,321.4486049589468
cn-cy-200c-01-V2-LOCATIONS,200,5,naive_ev,OK,9396.281864805433,349.86679683299735,331.9353150000097,21608,0,[],,,9404.302474718737,435.2144183750497,9399.932319326746,604.1095387501409
cn-cy-200c-02-V2-LOCATIONS,200,2,naive_ev,OK,9384.566187170809,188.14919287501834,170.4480585840065,12561,0,[],,,9388.796515828328,202.81517566693947,9384.05051649901,321.4486049589468
cn-cy-200c-02-V2-LOCATIONS,200,5,cv_only,OK,9385.34964205916,132.7018398749642,116.48441108304542,11242,0,[],,,9384.257093716922,324.36530408402905,9383.923693483937,424.1789972090628
cn-cy-200c-02-V2-LOCATIONS,200,4,cv_only,OK,9384.009346911133,150.36553270800505,134.15896766702645,13056,0,[],,,9391.287502910327,433.8756111250259,9384.208226299337,561.1816446250305
cn-cy-200c-02-V2-LOCATIONS,200,1,naive_ev,OK,9384.025721461168,394.95527337503154,377.3930255419109,26841,0,[],,,9384.208226299337,296.60312066599727,9384.208226299337,352.99528304103296
cn-cy-200c-02-V2-LOCATIONS,200,3,naive_ev,OK,9384.208226299337,295.4257185839815,279.18777683307417,21834,0,[],,,9560.862254326546,288.1237360830419,9384.836565178775,440.60238270799164
cn-cy-200c-02-V2-LOCATIONS,200,4,naive_ev,OK,9386.22985981967,245.09945574996527,228.2441439999966,15690,0,[],,,9391.287502910327,433.8756111250259,9384.208226299337,561.1816446250305
cn-cy-200c-02-V2-LOCATIONS,200,5,naive_ev,OK,9384.479503860981,242.93901491595898,226.42865241598338,16106,0,[],,,9384.257093716922,324.36530408402905,9383.923693483937,424.1789972090628
cn-cy-200c-03-V2-LOCATIONS,200,1,cv_only,OK,9660.654400781052,231.10803612496238,214.63399670901708,18991,0,[],,,9669.889557466337,248.530816124985,9669.889557466337,307.9007987920195
cn-cy-200c-03-V2-LOCATIONS,200,2,cv_only,OK,9654.158990821314,174.038221374969,157.67031720897648,14795,0,[],,,9665.52753300918,290.83619308297057,9663.603612478377,404.314720125054
cn-cy-200c-03-V2-LOCATIONS,200,1,naive_ev,OK,9661.396573051206,265.18275737494696,248.60540895804297,18266,0,[],,,9669.889557466337,248.530816124985,9669.889557466337,307.9007987920195
cn-cy-200c-03-V2-LOCATIONS,200,3,cv_only,OK,9662.973120568802,314.79826037492603,298.3390715420246,22214,0,[],,,9660.864690074923,331.5432934589917,9660.864690074923,386.3368610009784
cn-cy-200c-03-V2-LOCATIONS,200,4,cv_only,OK,9664.464042847814,223.38185691693798,206.96091704198625,10838,0,[],,,9668.873757271402,270.3510702078929,9668.873757271402,327.3698471658863
cn-cy-20c-01-V2-LOCATIONS,20,1,cv_only,OK,1205.8809932315198,5.427552624954842,5.20104633399751,3085,0,[],,,1201.9264318941257,3.5655828749295324,1201.9264318941257,7.649094874970615
cn-cy-200c-03-V2-LOCATIONS,200,2,naive_ev,OK,9660.364949803718,379.2552681249799,362.66585829202086,20595,0,[],,,9665.52753300918,290.83619308297057,9663.603612478377,404.314720125054
cn-cy-20c-01-V2-LOCATIONS,20,1,naive_ev,OK,1201.9264318941257,5.31813350005541,4.571430708980188,3159,0,[],,,1201.9264318941257,3.5655828749295324,1201.9264318941257,7.649094874970615
cn-cy-20c-01-V2-LOCATIONS,20,2,cv_only,OK,1205.8809932315198,4.538628707989119,4.39182095893193,3056,0,[],,,1201.9264318941257,3.2330227500060573,1201.9264318941257,7.372946999967098
