phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
253,models/data_bundle/generated_instances/E-UK24h-三班-150,6073,3072,3072,780288,monitor_phase_0253.csv
254,models/data_bundle/generated_instances/E-UK24h-三班-200,6097,3072,3072,783360,monitor_phase_0254.csv
255,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6121,3072,3072,786432,monitor_phase_0255.csv
256,models/data_bundle/generated_instances/E-UK24h-三班-150,6145,3072,3072,789504,monitor_phase_0256.csv
257,models/data_bundle/generated_instances/E-UK24h-三班-200,6169,3072,3072,792576,monitor_phase_0257.csv
258,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6193,3072,3072,795648,monitor_phase_0258.csv
259,models/data_bundle/generated_instances/E-UK24h-三班-150,6217,3072,3072,798720,monitor_phase_0259.csv
260,models/data_bundle/generated_instances/E-UK24h-三班-200,6241,3072,3072,801792,monitor_phase_0260.csv
261,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6265,3072,3072,804864,monitor_phase_0261.csv
262,models/data_bundle/generated_instances/E-UK24h-三班-150,6289,3072,3072,807936,monitor_phase_0262.csv
263,models/data_bundle/generated_instances/E-UK24h-三班-200,6313,3072,3072,811008,monitor_phase_0263.csv
264,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6337,3072,3072,814080,monitor_phase_0264.csv
265,models/data_bundle/generated_instances/E-UK24h-三班-150,6361,3072,3072,817152,monitor_phase_0265.csv
266,models/data_bundle/generated_instances/E-UK24h-三班-200,6385,3072,3072,820224,monitor_phase_0266.csv
267,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6409,3072,3072,823296,monitor_phase_0267.csv
268,models/data_bundle/generated_instances/E-UK24h-三班-150,6433,3072,3072,826368,monitor_phase_0268.csv
269,models/data_bundle/generated_instances/E-UK24h-三班-200,6457,3072,3072,829440,monitor_phase_0269.csv
270,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6481,3072,3072,832512,monitor_phase_0270.csv
271,models/data_bundle/generated_instances/E-UK24h-三班-150,6505,3072,3072,835584,monitor_phase_0271.csv
272,models/data_bundle/generated_instances/E-UK24h-三班-200,6529,3072,3072,838656,monitor_phase_0272.csv
273,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6553,3072,3072,841728,monitor_phase_0273.csv
274,models/data_bundle/generated_instances/E-UK24h-三班-150,6577,3072,3072,844800,monitor_phase_0274.csv
275,models/data_bundle/generated_instances/E-UK24h-三班-200,6601,3072,3072,847872,monitor_phase_0275.csv
276,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6625,3072,3072,850944,monitor_phase_0276.csv
277,models/data_bundle/generated_instances/E-UK24h-三班-150,6649,3072,3072,854016,monitor_phase_0277.csv
278,models/data_bundle/generated_instances/E-UK24h-三班-200,6673,3072,3072,857088,monitor_phase_0278.csv
279,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6697,3072,3072,860160,monitor_phase_0279.csv
280,models/data_bundle/generated_instances/E-UK24h-三班-150,6721,3072,3072,863232,monitor_phase_0280.csv
281,models/data_bundle/generated_instances/E-UK24h-三班-200,6745,3072,3072,866304,monitor_phase_0281.csv
282,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6769,3072,3072,869376,monitor_phase_0282.csv
283,models/data_bundle/generated_instances/E-UK24h-三班-150,6793,3072,3072,872448,monitor_phase_0283.csv
284,models/data_bundle/generated_instances/E-UK24h-三班-200,6817,3072,3072,875520,monitor_phase_0284.csv
285,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6841,3072,3072,878592,monitor_phase_0285.csv
286,models/data_bundle/generated_instances/E-UK24h-三班-150,6865,3072,3072,881664,monitor_phase_0286.csv
287,models/data_bundle/generated_instances/E-UK24h-三班-200,6889,3072,3072,884736,monitor_phase_0287.csv
288,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6913,3072,3072,887808,monitor_phase_0288.csv
289,models/data_bundle/generated_instances/E-UK24h-三班-150,6937,3072,3072,890880,monitor_phase_0289.csv
290,models/data_bundle/generated_instances/E-UK24h-三班-200,6961,3072,3072,893952,monitor_phase_0290.csv
291,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6985,3072,3072,897024,monitor_phase_0291.csv
292,models/data_bundle/generated_instances/E-UK24h-三班-150,7009,3072,3072,900096,monitor_phase_0292.csv
293,models/data_bundle/generated_instances/E-UK24h-三班-200,7033,3072,3072,903168,monitor_phase_0293.csv
294,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7057,3072,3072,906240,monitor_phase_0294.csv
295,models/data_bundle/generated_instances/E-UK24h-三班-150,7081,3072,3072,909312,monitor_phase_0295.csv
296,models/data_bundle/generated_instances/E-UK24h-三班-200,7105,3072,3072,912384,monitor_phase_0296.csv
297,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7129,3072,3072,915456,monitor_phase_0297.csv
298,models/data_bundle/generated_instances/E-UK24h-三班-150,7153,3072,3072,918528,monitor_phase_0298.csv
299,models/data_bundle/generated_instances/E-UK24h-三班-200,7177,3072,3072,921600,monitor_phase_0299.csv
300,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7201,3072,3072,924672,monitor_phase_0300.csv
301,models/data_bundle/generated_instances/E-UK24h-三班-150,7225,3072,3072,927744,monitor_phase_0301.csv
302,models/data_bundle/generated_instances/E-UK24h-三班-200,7249,3072,3072,930816,monitor_phase_0302.csv
303,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7273,3072,3072,933888,monitor_phase_0303.csv
304,models/data_bundle/generated_instances/E-UK24h-三班-150,7297,3072,3072,936960,monitor_phase_0304.csv
305,models/data_bundle/generated_instances/E-UK24h-三班-200,7321,3072,3072,940032,monitor_phase_0305.csv
306,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7345,3072,3072,943104,monitor_phase_0306.csv
307,models/data_bundle/generated_instances/E-UK24h-三班-150,7369,3072,3072,946176,monitor_phase_0307.csv
308,models/data_bundle/generated_instances/E-UK24h-三班-200,7393,3072,3072,949248,monitor_phase_0308.csv
309,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7417,3072,3072,952320,monitor_phase_0309.csv
310,models/data_bundle/generated_instances/E-UK24h-三班-150,7441,3072,3072,955392,monitor_phase_0310.csv
311,models/data_bundle/generated_instances/E-UK24h-三班-200,7465,3072,3072,958464,monitor_phase_0311.csv
312,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7489,3072,3072,961536,monitor_phase_0312.csv
313,models/data_bundle/generated_instances/E-UK24h-三班-150,7513,3072,3072,964608,monitor_phase_0313.csv
314,models/data_bundle/generated_instances/E-UK24h-三班-200,7537,3072,3072,967680,monitor_phase_0314.csv
315,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7561,3072,3072,970752,monitor_phase_0315.csv
316,models/data_bundle/generated_instances/E-UK24h-三班-150,7585,3072,3072,973824,monitor_phase_0316.csv
317,models/data_bundle/generated_instances/E-UK24h-三班-200,7609,3072,3072,976896,monitor_phase_0317.csv
318,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7633,3072,3072,979968,monitor_phase_0318.csv
319,models/data_bundle/generated_instances/E-UK24h-三班-150,7657,3072,3072,983040,monitor_phase_0319.csv
320,models/data_bundle/generated_instances/E-UK24h-三班-200,7681,3072,3072,986112,monitor_phase_0320.csv
321,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7705,3072,3072,989184,monitor_phase_0321.csv
322,models/data_bundle/generated_instances/E-UK24h-三班-150,7729,3072,3072,992256,monitor_phase_0322.csv
323,models/data_bundle/generated_instances/E-UK24h-三班-200,7753,3072,3072,995328,monitor_phase_0323.csv
324,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,7777,3072,3072,998400,monitor_phase_0324.csv
325,models/data_bundle/generated_instances/E-UK24h-三班-150,7801,1600,3072,1001472,monitor_phase_0325.csv
