episode_index,bundle,seed,policy_version,curriculum_phase,accepted_for_update,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4
37,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260658,2,route,1,24,47.63511814571296,1,3584.5019002180684,1500,1500,1279361,0,1,371.1100000000006,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.25,0.0,0.06666666666666667,0.0,0.0
38,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260659,2,energy,1,24,47.67432852168726,1,3683.7231729694195,1500,1500,963568,0,1,380.6100000000006,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.25595238095238093,0.0,0.03333333333333333,0.0,0.0
40,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260661,2,energy,1,24,49.627420297887035,1,3658.0764574552345,1500,1500,1403544,0,1,439.0310000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.25,0.0,0.08333333333333333,0.0,0.0
43,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260664,3,energy,1,24,52.499100122587606,1,3579.2655542277603,1500,1500,478621,0,1,212.59399999999732,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.25595238095238093,0.0,0.03333333333333333,0.0,0.0
39,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260660,2,energy,1,24,45.43457189013533,1,3663.3174203838666,1500,1500,1442314,0,1,473.2340000000113,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.27976190476190477,0.0,0.05,0.0,0.0
44,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260665,3,energy,1,24,47.24271405880059,1,3626.8698067242276,1500,1500,1168781,0,1,316.25,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.27380952380952384,0.0,0.05,0.0,0.0
41,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260662,2,energy,1,24,41.34340542596667,1,3690.0687068789857,1500,1500,1588233,0,1,454.1560000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.26785714285714285,0.0,0.05,0.0,0.0
42,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260663,3,energy,1,24,45.97657157330275,1,3644.665185307421,1500,1500,1402008,0,1,423.0939999999973,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.27380952380952384,0.0,0.13333333333333333,0.0,0.0
45,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260666,3,energy,1,24,44.41211363247814,1,3723.8211073522134,1500,1500,889546,0,1,299.39100000000326,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.26785714285714285,0.0,0.03333333333333333,0.0,0.0
46,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260667,3,energy,1,24,46.3993808216135,1,3610.2868821900984,1500,1500,653575,0,1,300.95299999999406,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.26785714285714285,0.0,0.1,0.0,0.0
