completed_episodes,elapsed_seconds,num_actors,busy_time_seconds_sum,busy_ratio,idle_ratio,episodes_per_hour,block_steps_per_hour,worker_failure_count
81,4554.327999999994,6,26383.659000000014,0.9655159883082659,0.034484011691734096,64.02700903404418,1536.6482168170603,0
82,4624.077999999994,6,26733.73700000001,0.963569998891312,0.03643000110868799,63.83975356817086,1532.1540856361007,0
83,4681.422000000006,6,27096.86200000001,0.9646948441449333,0.03530515585506666,63.82676033051488,1531.8422479323572,0
84,4681.422000000006,6,27432.627999999997,0.9766486906471282,0.023351309352871774,64.59575744293072,1550.2981786303374,0
85,4729.266000000003,6,27675.456000000006,0.9753259808181646,0.024674019181835427,64.70348675671865,1552.8836821612476,0
86,4756.531000000003,6,27978.721000000005,0.9803615632204783,0.019638436779521706,65.08945279658639,1562.1468671180733,0
87,4810.093999999997,6,28234.471000000005,0.9783062798079768,0.021693720192023203,65.1130726343394,1562.7137432241457,0
88,4816.781000000003,6,28427.174000000014,0.9836158906401045,0.016384109359895538,65.77006511194921,1578.481562686781,0
89,4894.391000000003,6,28640.127000000022,0.9752703656083056,0.0247296343916944,65.46268984231129,1571.104556215471,0
90,4968.360000000001,6,28927.065000000017,0.9703760395784529,0.029623960421547135,65.21266574885877,1565.1039779726104,0
91,4979.531000000003,6,29150.049000000014,0.975662467007435,0.024337532992565025,65.78932835240906,1578.9438804578174,0
92,5082.531000000003,6,29503.299000000014,0.9674739809752266,0.03252601902477337,65.16438365058666,1563.9452076140797,0
93,5113.5,6,29637.252000000008,0.9659806394837198,0.034019360516280184,65.47374596655911,1571.3699031974186,0
94,5116.062999999995,6,29936.534,0.9752464606736349,0.024753539326365148,66.14461158902859,1587.470678136686,0
95,5164.577999999994,6,30291.001999999993,0.9775242688431345,0.02247573115686552,66.22031848487919,1589.2876436371005,0
96,5197.735000000001,6,30593.891999999993,0.9810007628322718,0.018999237167728222,66.49050018902463,1595.7720045365913,0
97,5291.0,6,30916.531999999992,0.9738717318717316,0.026128268128268406,65.998865998866,1583.9727839727839,0
98,5324.110000000001,6,31157.672999999995,0.9753640514564873,0.024635948543512698,66.26459633628906,1590.3503120709374,0
99,5345.391000000003,6,31387.001000000004,0.9786312794205945,0.02136872057940553,66.67426199505327,1600.1822878812784,0
100,5388.156000000003,6,31574.468999999997,0.9766627952123133,0.02333720478768675,66.81321030794206,1603.5170473906094,0
101,5462.547000000006,6,31923.516000000003,0.9740119398515006,0.025988060148499414,66.56235635135032,1597.4965524324075,0
102,5558.968999999997,6,32158.343999999997,0.9641579220895101,0.03584207791048988,66.05541423238736,1585.329941577297,0
103,5636.172000000006,6,32503.516000000003,0.9611581524954635,0.03884184750453645,65.78933361153626,1578.9440066768705,0
104,5661.327999999994,6,33000.266,0.9715113367982459,0.02848866320175414,66.13289320102993,1587.1894368247183,0
105,5714.452999999994,6,33324.126000000004,0.9719252218891303,0.02807477811086967,66.14806351544065,1587.5535243705756,0
106,5756.031000000003,6,33617.57900000001,0.9734016083883726,0.02659839161162736,66.29568186828733,1591.096364838896,0
107,5764.031000000003,6,34036.21900000001,0.984155561735644,0.015844438264355998,66.82823183983567,1603.877564156056,0
108,5777.077999999994,6,34251.64100000002,0.9881477856683504,0.011852214331649624,67.30045881326173,1615.2110115182813,0
109,5922.952999999994,6,34538.422000000006,0.9718806930709518,0.028119306929048182,66.25073675242744,1590.0176820582587,0
110,5963.656000000003,6,34784.656,0.9721289535591363,0.02787104644086369,66.40222038293285,1593.6532891903885,0
111,5974.735000000001,6,35098.06300000001,0.9790688903636174,0.02093110963638256,66.88162738598447,1605.1590572636273,0
112,6058.437999999995,6,35400.47,0.9738613044044255,0.026138695595574468,66.55180757812498,1597.2433818749996,0
113,6076.906000000003,6,35554.42300000001,0.9751240461291759,0.024875953870824086,66.94196026728072,1606.6070464147374,0
114,6104.391000000003,6,35894.76700000001,0.9800258808236013,0.019974119176398686,67.23029373446094,1613.5270496270628,0
115,6237.0,6,36168.095,0.966492838437283,0.03350716156271705,66.37806637806638,1593.073593073593,0
116,6325.172000000006,6,36716.18900000001,0.9674622023453796,0.03253779765462039,66.02192003632464,1584.5260808717915,0
117,6384.577999999994,6,36996.361000000004,0.9657741148540551,0.034225885145944934,65.97147062812928,1583.3152950751028,0
118,6403.906000000003,6,37323.361000000004,0.9713696869795817,0.028630313020418297,66.3345152161821,1592.0283651883703,0
119,6427.202999999994,6,37691.845000000016,0.9774040382210855,0.02259596177891454,66.65418845491583,1599.70052291798,0
120,6524.156000000003,6,37979.00100000002,0.9702149212863703,0.029785078713629676,66.21546143286577,1589.1710743887786,0
121,6534.875,6,38539.14100000002,0.9829094155078206,0.017090584492179373,66.6577402016106,1599.7857648386541,0
122,6656.468999999997,6,38870.43800000001,0.973249681375116,0.026750318624883973,65.98092772609625,1583.54226542631,0
123,6712.266000000003,6,39198.12600000002,0.9732959033506717,0.02670409664932827,65.96878014071548,1583.2507233771717,0
124,6727.687999999995,6,39521.89200000001,0.9790855342875601,0.020914465712439934,66.35266082493723,1592.4638597984938,0
125,6813.860000000001,6,39800.345,0.973514400550251,0.026485599449749042,66.04186173475827,1585.0046816341985,0
126,6831.593999999997,6,40204.736000000004,0.9808529800414569,0.019147019958543066,66.39738836939082,1593.53732086538,0
127,6869.827999999994,6,40550.39199999999,0.98377989473196,0.016220105268039964,66.55188455955526,1597.2452294293262,0
128,6978.610000000001,6,40872.532999999996,0.9761383475123745,0.023861652487625507,66.03034128572881,1584.7281908574917,0
129,7104.516000000003,6,41264.782999999996,0.9680411492258346,0.03195885077416538,65.36687368991777,1568.8049685580263,0
130,7154.781000000003,6,41587.97,0.9687687622211401,0.031231237778859944,65.41080712323686,1569.8593709576849,0
131,7165.110000000001,6,42025.37700000001,0.9775466810697953,0.022453318930204746,65.81894765048966,1579.6547436117519,0
132,7177.297000000006,6,42332.830000000016,0.9830262934175169,0.016973706582483095,66.208769122972,1589.0104589513282,0
133,7231.531000000003,6,42750.50100000002,0.985280087992432,0.014719912007567948,66.21004597781574,1589.0411034675776,0
134,7285.437999999995,6,43057.32900000001,0.9850089315151687,0.014991068484831338,66.21427565508077,1589.1426157219385,0
135,7408.766000000003,6,43311.29800000001,0.9743255039593186,0.025674496040681394,65.597968676565,1574.35124823756,0
136,7461.827999999994,6,43668.595,0.9753775035643643,0.024622496435635743,65.61394875357625,1574.7347700858302,0
