scope,comparison_group,category,instance,seed,a0_profile,a3_profile,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-75c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1906.9469657885513,2001.0651258125758,1928.0455806021268,0.010943006236909837,-0.037872312742546814,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-75c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1892.9914385612506,2080.708208812824,1945.4259507481493,0.02695271550517461,-0.06953863137923576,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-100c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2893.876794962954,2881.892012430772,2897.948426411168,0.001405004799638936,0.00554061412344743,A3_BETTER
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-100c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2862.359094995675,2905.099711262221,2872.139491877431,0.003405265276778924,-0.011475842130231942,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-100c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2932.8242204250596,2930.746895560099,2898.297619306196,-0.011912717620466045,-0.011195977955387074,A3_BETTER
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-150c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3461.458728224892,3808.004225033804,3757.471175284482,0.07877969869913329,-0.013448685935826502,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-150c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3485.403086501675,3650.2979261014043,3435.1201224295414,-0.014637905598646136,-0.06264054705594256,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-150c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3462.9186728658005,3541.5845124246757,3659.1719704558836,0.05363325341761201,0.03213499091614382,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-15c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,642.185285005708,644.386285554954,647.3784356649101,0.008021815947372824,0.004621948994768159,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-15c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,728.6687678158102,728.6687678158102,642.185285005708,-0.1346706080462953,-0.1346706080462953,TIE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-15c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,642.185285005708,644.386285554954,644.386285554954,0.0034156539308568636,0.0,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-25c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,640.1754851140676,640.1754851140676,640.1754851140676,0.0,0.0,TIE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-25c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,651.626936659881,651.626936659881,640.1754851140676,-0.017887988234621396,-0.017887988234621396,TIE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-25c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,651.626936659881,640.1754851140676,640.1754851140676,-0.017887988234621396,0.0,A3_BETTER
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-50c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1435.0045621197335,1467.696517998314,1391.5523237466293,-0.03122573088456559,-0.054718886923829986,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-50c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1392.7894428146883,1402.5681093205876,1414.4593867353233,0.015320301257041256,0.00840694156810088,A3_WORSE
run,MAIN_LOCAL_SEARCH,vanilla,e2-vanilla-50c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1440.6010245432976,1476.4475701984609,1414.6385784001584,-0.01835270615375176,-0.0436924262790878,A3_WORSE
