run_id,phase,algorithm,seed,step,eval,operator,channel,best_cost,best_cost_before,route_count,signature,time_seconds
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,36,3406,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4116.9025274090745,,,,111.70368312500068
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,37,3439,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4104.604323604312,,,,111.82975158400222
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,38,3453,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4099.80558527838,,,,111.89473916700081
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,39,3933,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4088.156286716549,,,,113.56195125000158
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,40,4050,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4074.582838500055,,,,113.99794441700215
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,41,4077,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4058.222741131555,,,,114.09806525000022
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,42,4222,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,3998.0510074911554,,,,114.62401945900274
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,43,5169,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3940.2004677364926,,,,117.87839741700009
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,44,5170,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3898.7651656626467,,,,117.91888066700267
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,45,5171,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3861.247606348226,,,,117.93772720900233
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,46,5172,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3830.8993707075037,,,,117.95529225000064
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,47,5173,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3802.3146083313372,,,,117.97469550000096
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,48,5174,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3784.941386690527,,,,117.99434391700197
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,49,5614,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,3784.748372376865,,,,122.03880708400175
