scope,category,instance,seed,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
run,multidepot,e2-multidepot-15c-01,3,,,,,,,,,,649.8601526479185,621.371321439464,649.8601526479185,0.0,0.043838402912340396,A3_BETTER
run,multidepot,e2-multidepot-20c-01,1,,,,,,,,,,727.4079495694979,705.750850756463,700.4933751651098,-0.038422311128987016,-0.007505389455130841,A3_BETTER
run,multidepot,e2-multidepot-20c-01,2,,,,,,,,,,731.4747515610208,705.750850756463,705.750850756463,-0.03644898306106953,0.0,A3_BETTER
run,multidepot,e2-multidepot-20c-01,3,,,,,,,,,,705.750850756463,707.0076075763136,707.2366001999801,0.0021007813270650373,0.00032378502979306937,A3_WORSE
run,multidepot,e2-multidepot-50c-01,1,,,,,,,,,,1193.224915940164,1193.943507636991,1288.1390712046432,0.07368315843080302,0.07312530585658142,A3_WORSE
run,multidepot,e2-multidepot-50c-01,2,,,,,,,,,,1233.55858421235,1253.8491892793832,1192.7479646155844,-0.0342156271127394,-0.051227272212106746,A3_WORSE
run,multidepot,e2-multidepot-50c-01,3,,,,,,,,,,1191.9803676825516,1192.7479646155844,1219.7934346230413,0.022801456501596082,0.022172172139797556,A3_WORSE
run,multidepot,e2-multidepot-75c-01,1,,,,,,,,,,2039.515023318754,2042.7309963215941,2031.5906719071968,-0.0039005649716426435,-0.005483547728607727,A3_WORSE
run,multidepot,e2-multidepot-75c-01,2,,,,,,,,,,2014.262712557926,2029.404358057452,2019.5553444161362,0.002620691665045837,-0.004876822845458231,A3_WORSE
run,multidepot,e2-multidepot-75c-01,3,,,,,,,,,,2063.668469350863,2157.1643401924744,2062.1369385235994,-0.0007426911368746952,-0.04608200352441699,A3_WORSE
run,threeshift,e2-threeshift-100c-01,1,,,,,,,,,,2728.4185304558287,2840.0164771591103,2702.079682384095,-0.009747620783889794,-0.051048381612977076,A3_WORSE
