algorithm,best_cost,bundle_dir,elapsed_seconds,eval_budget,evaluations,history,instance,max_runtime_seconds,seed,source,status,violation_count
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0082819999952,16000,2209,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,1,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.2715168340001,16000,2208,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,2,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.2719001669975,16000,2201,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,3,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.3145147920004,16000,2218,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,4,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.3298028330028,16000,2162,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,5,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.4159777079985,16000,2165,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,6,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0326267079945,16000,2218,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,7,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.2058942500007,16000,2209,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,8,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.114822375006,16000,2189,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,9,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.2908951670033,16000,2296,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,10,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
