battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant
81.0,vanilla,all_cv,1213.2666144034245,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1180.938719188215,0.28,0.42155369383092156,0.25274096979116406,0.42857142857142855,e2-vanilla-25c-01,stage_a,1,25,balanced_mixed,4,0.28,0.42155369383092156,0.25274096979116406,3,0.42857142857142855,7,OK,1180.938719188215,25.0,10504.0,1020527.8405455078,free_mixed
81.0,vanilla,all_cv,2752.305491322416,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,2689.678917749818,0.44,0.4309002853930641,0.33609282335990526,0.4375,e2-vanilla-50c-01,stage_a,1,50,balanced_mixed,9,0.44,0.4309002853930641,0.33609282335990526,7,0.4375,16,OK,2689.678917749818,50.0,23126.0,2384570.610640731,free_mixed
81.0,vanilla,all_cv,4668.631771653173,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4754.611434034005,0.25333333333333335,0.3211646872092387,0.24783578736623668,0.37037037037037035,e2-vanilla-75c-01,stage_a,1,75,all_cv,25,0.0,0.0,0.0,0,0.0,25,OK,4668.631771653173,75.0,36542.0,4142091.793144206,cv_shell
82.6,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4934.754535177661,0.67,0.688427868538201,0.5126119139017435,0.7058823529411765,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,10,0.67,0.688427868538201,0.5126119139017435,24,0.7058823529411765,34,OK,4934.754535177661,100.0,46949.0,3912211.712622645,free_mixed
82.6,multidepot,all_cv,629.1244202104523,0.0,0.0,0.0,0.0,all_ev,585.3439824113559,1.0,1.0,1.0,1.0,balanced_mixed,573.0291200582521,0.7,0.7268559336977606,0.6814339662848842,0.75,e2-multidepot-10c-01,stage_a,1,10,balanced_mixed,1,0.7,0.7268559336977606,0.6814339662848842,3,0.75,4,OK,573.0291200582521,10.0,5671.0,484356.7224599988,free_mixed
82.6,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7369.046604099672,0.64,0.6718190439792207,0.5553226924049138,0.6981132075471698,e2-multidepot-150c-01,stage_a,1,150,all_cv,48,0.0,0.0,0.0,0,0.0,48,OK,7270.566593981815,150.0,70647.0,5328266.541451126,cv_shell
82.6,multidepot,all_cv,945.2956479699312,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,908.5069820003949,0.4,0.41072170660756335,0.2775924241640454,0.4,e2-multidepot-15c-01,stage_a,1,15,balanced_mixed,3,0.4,0.41072170660756335,0.2775924241640454,2,0.4,5,OK,908.5069820003949,15.0,7219.0,855344.014083289,free_mixed
82.6,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,9987.956744690238,0.575,0.6036931818181818,0.5506828777880777,0.6438356164383562,e2-multidepot-200c-01,stage_a,1,200,all_cv,66,0.0,0.0,0.0,0,0.0,66,OK,9549.623080396133,200.0,97152.0,6631550.654229282,cv_shell
82.6,multidepot,all_cv,1172.824422818402,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1162.688230302926,0.3,0.3742790002136296,0.1962872520144767,0.42857142857142855,e2-multidepot-20c-01,stage_a,1,20,balanced_mixed,4,0.3,0.3742790002136296,0.1962872520144767,3,0.42857142857142855,7,OK,1162.688230302926,20.0,9362.0,989837.247794895,free_mixed
82.6,multidepot,all_cv,1045.8722145551653,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1031.8497970085364,0.64,0.7038271134805788,0.45590232053719665,0.75,e2-multidepot-25c-01,stage_a,1,25,balanced_mixed,2,0.64,0.7038271134805788,0.45590232053719665,6,0.75,8,OK,1031.8497970085364,25.0,10504.0,694860.8390254433,free_mixed
