instance_id,source,source_kind,source_objective,route_first,route_second,source_adjacent,fallback_columns,fallback_objective,generated_segments,generated_options_before_dedup,columns_after_dedup,selected_routes,mip_status_class,mip_gap,mip_seconds,local_delta,exact_evaluated,candidate_objective,exact_improvement
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,10,11,True,2,547.7158160006525,128,820,412,2,OPTIMAL,0.0,0.01961408299393952,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,10,12,False,2,554.6623820034534,114,720,362,2,OPTIMAL,0.0,0.010071875003632158,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,10,13,False,2,568.8831036651404,144,948,476,2,OPTIMAL,0.0,0.012817957962397486,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,10,14,False,2,541.2307738983014,102,648,326,2,OPTIMAL,0.0,0.015216999978292733,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,11,12,True,2,542.6529720797389,98,604,304,2,OPTIMAL,0.0,0.012371749966405332,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,11,13,False,2,556.873693741426,128,832,418,2,OPTIMAL,0.0,0.010962000000290573,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,11,14,False,2,529.2213639745869,86,532,268,2,OPTIMAL,0.0,0.009768333984538913,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,12,13,True,2,563.820259744227,119,760,396,2,OPTIMAL,0.0,0.01063645799877122,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,12,14,False,2,536.167929977388,72,432,218,2,OPTIMAL,0.0,0.007853624993003905,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,13,14,True,2,550.388651639075,102,660,332,2,OPTIMAL,0.0,0.00963029102422297,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,1,True,2,614.333390496962,112,764,384,2,OPTIMAL,0.0,0.011477167019620538,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,2,False,2,605.0219480318067,86,568,286,2,OPTIMAL,0.0,0.007757082988973707,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,3,False,2,618.676148148403,98,664,334,2,OPTIMAL,0.0,0.010359000007156283,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,4,False,2,617.7528030865824,128,844,424,2,OPTIMAL,0.0,0.011152708029840142,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,5,False,2,632.7506303297291,112,752,378,2,OPTIMAL,0.0,0.010313166014384478,0.0,False,,False
