status,channel,error_type,error,count
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C039's time window,71
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C040's time window,57
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C041's time window,71
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C042's time window,76
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C043's time window,19
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C044's time window,64
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C045's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C046's time window,76
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C047's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C048's time window,19
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C049's time window,19
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C050's time window,19
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C002's time window,458
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C004's time window,14
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C008's time window,9
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C011's time window,14
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C012's time window,68
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C018's time window,289
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C019's time window,20
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C022's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C023's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C024's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C025's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C026's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C027's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C028's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C029's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C030's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C031's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C032's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C033's time window,171
