arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
simple_insertion,3,PASS,0,2704.348370674582,221,96965.54982996854,0,"{""D0"": 4185.4738818732885, ""D1"": 4870.978280304146}",df48ded3085d154e019b34a8e8a0e417fc6c705b902cd0fbdfaf1c45128c1e52,9056.452162177435,2688.9634698614414,9304.944353625406,18361.39651580284,1.0,N221,geographic,3
full,3,PASS,5,2603.236317230919,221,97187.3498175205,2,"{""D0"": 4581.5928860884505, ""D1"": 4732.398642718408}",e87d1b427f798edcab92297a08f8712c464fed4285537269990b2b7117b7ecb0,9313.991528806859,2587.5887701730817,9089.405032638819,18403.396561445676,1.0,N221,geographic,4
no_cooperation,3,PASS,0,2561.7057297744614,221,97187.3498175205,0,"{""D0"": 4625.748229699067, ""D1"": 4844.342688198834}",b12eaf9ffb37d9773dedba53586c4a502321ed21c007c55a5b24a6d2498703a0,9470.090917897902,2546.001361097646,8933.305643547781,18403.396561445683,1.0,N221,geographic,4
no_participation,3,PASS,5,2603.236317230919,221,97187.3498175205,2,"{""D0"": 4581.5928860884505, ""D1"": 4732.398642718408}",e87d1b427f798edcab92297a08f8712c464fed4285537269990b2b7117b7ecb0,9313.991528806859,2587.5887701730817,9089.405032638819,18403.396561445676,1.0,N221,geographic,4
simple_insertion,3,PASS,0,2653.3501333475097,221,97187.3498175205,0,"{""D0"": 4625.748229699067, ""D1"": 4655.756533619928}",25af114a81e8a7d7e356502513e6c62651e15c4809ee7d13f0204a79a1513940,9281.504763318995,2637.729824253854,9121.891798126684,18403.39656144568,1.0,N221,geographic,4
full,3,PASS,3,2776.200731391235,221,97372.73898452878,0,"{""D0"": 4362.750838589271, ""D1"": 4663.498141165159}",0eb1cf061fad1e1b21fade8a7e78449a3cd6f4726d312d6993e47633b9d0e818,9026.24897975443,2760.550462508003,9412.252874355936,18438.501854110364,1.0,N221,geographic,5
no_cooperation,3,PASS,0,2766.564929063288,221,97372.73898452878,0,"{""D0"": 4377.971647056336, ""D1"": 4590.127781263382}",84471ba5bb93ed5ab85f7b78b7b8db026d67823786e85c1c7ac88e25be0f3251,8968.099428319718,2750.914660180056,9470.402425790646,18438.501854110364,1.0,N221,geographic,5
no_participation,3,PASS,3,2776.200731391235,221,97372.73898452878,0,"{""D0"": 4362.750838589271, ""D1"": 4663.498141165159}",0eb1cf061fad1e1b21fade8a7e78449a3cd6f4726d312d6993e47633b9d0e818,9026.24897975443,2760.550462508003,9412.252874355936,18438.501854110364,1.0,N221,geographic,5
simple_insertion,3,PASS,0,2759.0230666933576,221,97372.73898452878,0,"{""D0"": 4377.971647056336, ""D1"": 4648.569658322468}",54fb6f79ac9cc2c41c733ab4b9a43abac8b916a3d42b3a377b5d7ec9f67e7220,9026.541305378803,2743.3727978101256,9411.96054873156,18438.501854110364,0.996871700172344,N221,geographic,5
full,3,PASS,3,3420.1302552425973,221,97232.54246947868,0,"{""D0"": 4309.4974892972605, ""D1"": 3695.95674771597}",801ae1f9068fcdabe9a6c3e531dc68b3c9dec5542643651027066737236c56e2,8005.45423701323,3398.175325735686,10406.500005007254,18411.95424202048,1.0,N221,historical_mixed,1
no_cooperation,3,PASS,0,3420.1302552425973,221,97232.54246947868,0,"{""D0"": 4309.4974892972605, ""D1"": 3695.95674771597}",801ae1f9068fcdabe9a6c3e531dc68b3c9dec5542643651027066737236c56e2,8005.45423701323,3398.175325735686,10406.500005007254,18411.95424202048,1.0,N221,historical_mixed,1
no_participation,3,PASS,3,3419.780021546173,221,97232.54246947868,0,"{""D0"": 4309.4974892972605, ""D1"": 3692.866852083005}",4ab9a91c397ca1be50a5d2415d6d1d335c0151ddb6619b7447ec9fe8386af415,8002.364341380266,3397.8535994331564,10409.589900640214,18411.95424202048,0.9958394819592419,N221,historical_mixed,1
simple_insertion,3,PASS,0,3489.5734734272464,221,97232.54246947868,0,"{""D0"": 4307.499848190219, ""D1"": 3524.0019417300464}",d78b9e821c31e7a0d833668511ece2087b6ae2bb629a3aca2e297e0a4adfcce7,7831.501789920266,3467.56255664953,10580.452452100215,18411.95424202048,0.9563372941051536,N221,historical_mixed,1
full,3,PASS,5,3450.8347301602653,221,96592.08526294978,0,"{""D0"": 4059.835798587228, ""D1"": 3435.3407020380037}",0176e19f1b06ea9c3493420e63c7e658b5a01b1dcf4f1f06c561d117425bf90b,7495.176500625232,3426.1175613119603,10795.500764766937,18290.67726539217,1.0,N221,historical_mixed,2
no_cooperation,3,PASS,0,3450.8347301602653,221,96592.08526294978,0,"{""D0"": 4059.835798587228, ""D1"": 3435.3407020380037}",0176e19f1b06ea9c3493420e63c7e658b5a01b1dcf4f1f06c561d117425bf90b,7495.176500625232,3426.1175613119603,10795.500764766937,18290.67726539217,1.0,N221,historical_mixed,2
no_participation,3,PASS,5,3448.7152596838473,221,96592.08526294978,0,"{""D0"": 4059.835798587228, ""D1"": 3464.2181768276005}",73a5146a0b0edd3a09e4c6fe41dfe5ba0e8dd3140a9fe2c52e085be972939436,7524.0539754148285,3424.379758896875,10766.62328997734,18290.677265392165,0.996610688002403,N221,historical_mixed,2
simple_insertion,3,PASS,0,3371.424650644419,221,96592.08526294978,0,"{""D0"": 4059.1467651909297, ""D1"": 3626.3263407200657}",849fbe42e45959853bdb3f6e17b046b52842a4624ae76b90516c3fea96bfa16b,7685.473105910995,3347.260774139454,10605.20415948117,18290.677265392165,0.9982658055502859,N221,historical_mixed,2
full,3,PASS,3,3375.867793496667,221,96965.54982996854,0,"{""D0"": 4223.793727368969, ""D1"": 3758.5060179348093}",b04b79b557fa6af5734c4303f5b686a570b519344d43dd5fb2000a9296889b35,7982.299745303778,3352.2259002642604,10379.096770499056,18361.396515802837,1.0,N221,historical_mixed,3
no_cooperation,3,PASS,0,3375.867793496667,221,96965.54982996854,0,"{""D0"": 4223.793727368969, ""D1"": 3758.5060179348093}",b04b79b557fa6af5734c4303f5b686a570b519344d43dd5fb2000a9296889b35,7982.299745303778,3352.2259002642604,10379.096770499056,18361.396515802837,1.0,N221,historical_mixed,3
no_participation,3,PASS,3,3375.9247679994423,221,96965.54982996854,0,"{""D0"": 4223.793727368969, ""D1"": 3758.5060179348093}",5e55492d619e28f15ac8d076ed5a28983a443cb21e1acecc3ed9424a598170fe,7982.299745303778,3352.248603023824,10379.096770499056,18361.396515802837,0.9956420554609492,N221,historical_mixed,3
simple_insertion,3,PASS,0,3339.520849611483,221,96965.54982996854,0,"{""D0"": 4223.793727368969, ""D1"": 3654.0329028463175}",57c76e9669e79be68997e8773c57018afff44d31e133272acdadbe54c1a345d1,7877.826630215286,3315.6386327341725,10483.569885587549,18361.396515802837,0.9801104697406824,N221,historical_mixed,3
full,3,PASS,5,3509.4766155208,222,97496.3498175205,2,"{""D0"": 4223.044234424855, ""D1"": 3633.0402577930936}",abe306cc6d0ac931aafb0f9b0bb6a38d057b871608e6fbac41a11954739b38a9,7856.0844922179485,3487.9920757112577,10605.82430922773,18461.90880144568,1.0,N221,historical_mixed,4
no_cooperation,3,PASS,0,3517.6597909357874,222,97496.3498175205,0,"{""D0"": 4218.5232662311355, ""D1"": 3591.140806086134}",301218958e66b2fca5d8bd8b5fc7730c53d27347142f5d2d539a66c20d95528d,7809.6640723172695,3495.9127905158316,10652.24472912841,18461.90880144568,1.0,N221,historical_mixed,4
