actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,14,2,25335,45.0,25c,59,120,0,5.796999999904074,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,476.6538579805703,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,476.6538579805703,120,True,14,3,21048,40.0,25c,60,120,0,5.156000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,596.9974258018939,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,597.9801724970142,120,True,15,0,31319,102.0,25c,61,120,0,6.51500000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,575.7188168350319,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,575.8177525065122,120,True,15,1,28793,82.0,25c,62,120,0,9.0,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,609.5945371154716,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,609.5945371154716,120,True,15,2,27356,92.0,25c,63,120,0,5.812999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,596.9974258018939,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,596.9974258018939,120,True,15,3,28577,97.0,25c,64,120,0,5.967999999993481,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,536.8969430279592,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,536.8969430279592,120,True,16,0,28612,87.0,25c,65,120,0,6.140999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,538.8638206137057,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,540.3597121395175,120,True,16,1,27704,97.0,25c,66,120,0,5.969000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,524.0860267068896,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,524.0860267068896,120,True,16,2,26699,82.0,25c,67,120,0,6.827999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,533.5761517182082,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,533.5761517182082,120,True,16,3,32035,77.0,25c,68,120,0,7.655999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,523.7464754648297,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,523.7464754648297,120,True,17,0,24556,94.0,25c,69,120,0,5.562999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,530.5926779996588,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,530.5926779996588,120,True,17,1,29528,112.0,25c,70,120,0,6.437999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,542.2867848650006,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,542.2867848650006,120,True,17,2,23483,100.0,25c,71,120,0,5.594000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,525.3639245950288,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,529.2855293604479,120,True,17,3,21007,67.0,25c,72,120,0,5.030999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,601.1809370066682,120,True,18,0,36608,77.0,25c,73,120,0,7.295999999972992,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
