category,instance,seed,profile,total_attempts,top1_pair_share,top2_pair_share,top3_pair_share,best_improved_count,best_improved_rate,final_gap_vs_lns,outcome_vs_lns
vanilla,e2-vanilla-150c-01,1,A3_BACKEND_LOCAL_SEARCH,3983,0.5315089128797389,0.9284458950539795,0.9884509163946774,55,0.013808686919407481,-0.013448685935826502,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-150c-01,2,A0_MAIN_LOCAL_SEARCH,3985,0.9307402760351318,0.9693851944792974,0.9922208281053952,86,0.021580928481806774,-0.014637905598646136,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-150c-01,2,A3_BACKEND_LOCAL_SEARCH,3991,0.5239288398897519,0.9366073665747933,0.9764470057629667,95,0.023803558005512402,-0.06264054705594256,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-150c-01,3,A0_MAIN_LOCAL_SEARCH,3987,0.6054677702533233,0.9546024579884625,0.9952345121645347,121,0.03034863305743667,0.05363325341761201,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-150c-01,3,A3_BACKEND_LOCAL_SEARCH,3990,0.9348370927318296,0.9671679197994988,0.9962406015037594,178,0.04461152882205514,0.03213499091614382,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-15c-01,1,A0_MAIN_LOCAL_SEARCH,3981,0.6365234865611655,0.8095955790002511,0.9412207987942728,16,0.004019090680733484,0.008021815947372824,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-15c-01,1,A3_BACKEND_LOCAL_SEARCH,3980,0.6007537688442212,0.9376884422110553,0.9417085427135679,11,0.002763819095477387,0.004621948994768159,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-15c-01,2,A0_MAIN_LOCAL_SEARCH,3980,0.7791457286432161,0.8158291457286432,0.8341708542713567,8,0.0020100502512562816,-0.1346706080462953,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-15c-01,2,A3_BACKEND_LOCAL_SEARCH,3980,0.7917085427135678,0.8110552763819096,0.8228643216080402,9,0.0022613065326633165,-0.1346706080462953,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-15c-01,3,A0_MAIN_LOCAL_SEARCH,3981,0.5234865611655363,0.7289625722180356,0.8826927907560914,9,0.002260738507912585,0.0034156539308568636,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-15c-01,3,A3_BACKEND_LOCAL_SEARCH,3980,0.7515075376884423,0.7663316582914573,0.7811557788944724,8,0.0020100502512562816,0.0,TIE
vanilla,e2-vanilla-25c-01,1,A0_MAIN_LOCAL_SEARCH,3981,0.7784476262245666,0.875408188897262,0.8831951770911831,15,0.0037678975131876413,0.0,TIE
vanilla,e2-vanilla-25c-01,1,A3_BACKEND_LOCAL_SEARCH,3980,0.871859296482412,0.8793969849246231,0.8869346733668342,17,0.004271356783919598,0.0,TIE
vanilla,e2-vanilla-25c-01,2,A0_MAIN_LOCAL_SEARCH,3980,0.8020100502512563,0.8527638190954774,0.8680904522613065,9,0.0022613065326633165,-0.017887988234621396,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-25c-01,2,A3_BACKEND_LOCAL_SEARCH,3980,0.8738693467336683,0.8814070351758794,0.8889447236180904,11,0.002763819095477387,-0.017887988234621396,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-25c-01,3,A0_MAIN_LOCAL_SEARCH,3980,0.9103015075376885,0.9155778894472362,0.9208542713567839,18,0.004522613065326633,-0.017887988234621396,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-25c-01,3,A3_BACKEND_LOCAL_SEARCH,3980,0.8974874371859296,0.9035175879396985,0.9095477386934674,16,0.004020100502512563,0.0,TIE
vanilla,e2-vanilla-50c-01,1,A0_MAIN_LOCAL_SEARCH,3982,0.882722250125565,0.9339527875439477,0.9623304871923657,41,0.01029633350075339,-0.03122573088456559,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-50c-01,1,A3_BACKEND_LOCAL_SEARCH,3983,0.9108712026110971,0.9384885764499121,0.9661059502887271,41,0.010293748430831032,-0.054718886923829986,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-50c-01,2,A0_MAIN_LOCAL_SEARCH,3984,0.9871987951807228,0.9959839357429718,0.9962349397590361,54,0.01355421686746988,0.015320301257041256,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-50c-01,2,A3_BACKEND_LOCAL_SEARCH,3983,0.9653527491840321,0.9819231734873212,0.9849359779061009,70,0.01757469244288225,0.00840694156810088,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-50c-01,3,A0_MAIN_LOCAL_SEARCH,3983,0.9000753201104695,0.9678634195330154,0.9698719558122019,44,0.011046949535525985,-0.01835270615375176,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-50c-01,3,A3_BACKEND_LOCAL_SEARCH,3984,0.8130020080321285,0.9126506024096386,0.9811746987951807,57,0.01430722891566265,-0.0436924262790878,ALNS_WORSE_THAN_LNS
