arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
simple_insertion,3,PASS,0,2659.6463322121144,221,97232.54246947868,0,"{""D0"": 4313.958967653648, ""D1"": 4796.350403819631}",ebc352083ab2de4740b584b5fc5ead30587ccdfe786d8d16277364acad7ba790,9110.309371473279,2643.9312490078296,9301.644870547198,18411.954242020474,0.9827955388867717,N221,geographic,1
full,3,PASS,57,2709.939647879598,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4847.175367329901}",fccc3a39a57ec3ff1b24d536624bf464b031157600e5f2c52e6968e57ed46ac8,9155.62498932468,2694.131415555738,9135.052276067488,18290.677265392165,1.0,N221,geographic,2
no_cooperation,3,PASS,0,2696.8392862092305,221,96592.08526294978,0,"{""D0"": 4312.933475732903, ""D1"": 4796.133002086743}",0cf1e789daa2aa885decd941d76bc7c75cf055384f21f50dd9a580d4d798d4fd,9109.066477819646,2681.0059480633277,9181.61078757252,18290.677265392165,1.0,N221,geographic,2
no_participation,3,PASS,57,2709.939647879598,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4847.175367329901}",fccc3a39a57ec3ff1b24d536624bf464b031157600e5f2c52e6968e57ed46ac8,9155.62498932468,2694.131415555738,9135.052276067488,18290.677265392165,1.0,N221,geographic,2
simple_insertion,3,PASS,0,2690.367327879773,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4845.777813867796}",3ee3209091523ecddcdf2f6a0b1de8fcf80f673cf69bb77f65819fbac858ceaf,9154.227435862576,2674.543870094348,9136.449829529596,18290.67726539217,0.998528676317196,N221,geographic,2
full,3,PASS,72,2716.3838432401762,221,96965.54982996854,0,"{""D0"": 4179.54987148522, ""D1"": 4890.5393167103175}",fc9a093b3b2b7dc6c817bfa199a1178d83035ad0c9ed0cf1405ac78814909e3a,9070.089188195538,2701.0135209339232,9291.307327607297,18361.396515802833,1.0,N221,geographic,3
no_cooperation,3,PASS,0,3011.521557790968,221,96965.54982996854,0,"{""D0"": 4082.801665120881, ""D1"": 5018.626692797989}",a04af94268ff9185ff0c04ec621fd4f9a283a3f5017c053e518a57de160d514b,9101.42835791887,2996.8266725832073,9259.968157883968,18361.396515802837,1.0,N221,geographic,3
no_participation,3,PASS,72,2716.3838432401762,221,96965.54982996854,0,"{""D0"": 4179.54987148522, ""D1"": 4890.5393167103175}",fc9a093b3b2b7dc6c817bfa199a1178d83035ad0c9ed0cf1405ac78814909e3a,9070.089188195538,2701.0135209339232,9291.307327607297,18361.396515802833,1.0,N221,geographic,3
simple_insertion,3,PASS,0,2704.348370674582,221,96965.54982996854,0,"{""D0"": 4185.4738818732885, ""D1"": 4870.978280304146}",df48ded3085d154e019b34a8e8a0e417fc6c705b902cd0fbdfaf1c45128c1e52,9056.452162177435,2688.9634698614414,9304.944353625406,18361.39651580284,0.9994170882991924,N221,geographic,3
full,3,PASS,99,2551.9032233452576,221,97187.3498175205,1,"{""D0"": 4648.164809554851, ""D1"": 4707.077477544673}",f1f202121ca4d044888fa860a20ef227493b8fb7aa6df6961763d02b8e9af2a9,9355.242287099523,2536.0807556106956,9048.154274346158,18403.39656144568,1.0,N221,geographic,4
no_cooperation,3,PASS,0,2477.14745340558,221,97187.3498175205,0,"{""D0"": 4600.94212386847, ""D1"": 4681.383268315973}",56988c9453ae8d2c9fe91c3173195c1f99ea434b8d8c9fbe9df03f87605a752a,9282.325392184443,2459.9573737239834,9121.07116926123,18403.396561445676,1.0,N221,geographic,4
no_participation,3,PASS,99,2551.9032233452576,221,97187.3498175205,1,"{""D0"": 4648.164809554851, ""D1"": 4707.077477544673}",f1f202121ca4d044888fa860a20ef227493b8fb7aa6df6961763d02b8e9af2a9,9355.242287099523,2536.0807556106956,9048.154274346158,18403.39656144568,1.0,N221,geographic,4
simple_insertion,3,PASS,0,2653.3501333475097,221,97187.3498175205,0,"{""D0"": 4625.748229699067, ""D1"": 4655.756533619928}",25af114a81e8a7d7e356502513e6c62651e15c4809ee7d13f0204a79a1513940,9281.504763318995,2637.729824253854,9121.891798126684,18403.39656144568,0.9958380075099096,N221,geographic,4
full,3,PASS,124,2538.0741478352456,221,97372.73898452878,2,"{""D0"": 4492.166208967558, ""D1"": 5149.047801648386}",dc7ce2d10415cf404e13c7e7455333561fe2b2b13f2175fa9de839f8234c3e09,9641.214010615944,2522.4253870910643,8797.287843494423,18438.501854110367,1.0,N221,geographic,5
no_cooperation,3,PASS,0,2886.183265570726,221,97372.73898452878,0,"{""D0"": 4478.80608267429, ""D1"": 4946.774741893791}",92b6c850f4615b393606cd72a21e916f8efa653f58a35548aac129a56d912f14,9425.580824568082,2871.439102901618,9012.921029542278,18438.50185411036,1.0,N221,geographic,5
no_participation,3,PASS,124,2538.0741478352456,221,97372.73898452878,2,"{""D0"": 4492.166208967558, ""D1"": 5149.047801648386}",dc7ce2d10415cf404e13c7e7455333561fe2b2b13f2175fa9de839f8234c3e09,9641.214010615944,2522.4253870910643,8797.287843494423,18438.501854110367,1.0,N221,geographic,5
simple_insertion,3,PASS,0,2759.0230666933576,221,97372.73898452878,0,"{""D0"": 4377.971647056336, ""D1"": 4648.569658322468}",54fb6f79ac9cc2c41c733ab4b9a43abac8b916a3d42b3a377b5d7ec9f67e7220,9026.541305378803,2743.3727978101256,9411.96054873156,18438.501854110364,0.9795347184184666,N221,geographic,5
full,3,PASS,36,3370.2566571007346,221,97232.54246947868,0,"{""D0"": 4307.499848190219, ""D1"": 3937.2328120405773}",03a160b5bc6582b5d03e6e3b369d65301b0725f2aac09423bf181ab998717887,8244.732660230797,3348.286349331229,10167.221581789685,18411.95424202048,1.0,N221,historical_mixed,1
no_cooperation,3,PASS,0,3477.946624156367,221,97232.54246947868,0,"{""D0"": 4310.280826239075, ""D1"": 3653.5759894255507}",d201b027975d415bda2f90c21753fbddd260f86bcc79347b89148f2aaf90b435,7963.856815664626,3456.1853046907627,10448.097426355858,18411.95424202048,1.0,N221,historical_mixed,1
no_participation,3,PASS,36,3361.651770326768,221,97232.54246947868,2,"{""D0"": 4293.212610001337, ""D1"": 3964.529608028819}",b1e47a99a6a444c1d16f645b7b237930b1d50cf3b9f823ea9fb33659040d5b45,8257.742218030156,3339.7507630762234,10154.212023990325,18411.95424202048,0.9960399522435053,N221,historical_mixed,1
