task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T24__JJJ__ASAP__S2026080209,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.007999499999642,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080210,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.0112869579998,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.04651504100002,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080202,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.14298745799988,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080203,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.112854916999822,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080204,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.332117375000053,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080205,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.298341000000619,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080206,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.191155334000541,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080207,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.028435000000172,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080208,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.106657082998936,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080209,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.026164333001361,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST_CARBON__S2026080210,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.009939125000528,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.029725334000432,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080202,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.015954790999785,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080203,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.307412000000113,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080204,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.014928999999938,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080205,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.012538166000013,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080206,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.01522558400029,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080207,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.035935333999987,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080208,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.029079208999974,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080209,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.027124958000059,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__COST__S2026080210,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST,cost_min,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.016375540999434,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
