status,error_type,error,count
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C138's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C140's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C141's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C142's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C143's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C144's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C147's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C148's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_1#T1 misses C149's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_2#T1 misses C012's time window,17
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_2#T1 misses C045's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_guangzhou_2#T1 misses C063's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C012's time window,11
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C064's time window,7
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C069's time window,15
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C081's time window,7
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C109's time window,4
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C127's time window,4
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C132's time window,5
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C133's time window,4
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C136's time window,6
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C138's time window,9
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C141's time window,6
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C142's time window,4
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C012's time window,3
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C043's time window,3
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C064's time window,2
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C069's time window,3
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C081's time window,2
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C089's time window,3
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C117's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C146's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_2#T1 misses C012's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_2#T1 misses C043's time window,1
