action_id,focus_customer_ids,focus_direct_roundtrip_advantage_km,status,evaluated,complete_model_feasible,violation_count,violations_json,cross_site_service_count,after_cost_cny,cost_change_cny,after_emissions_kg,minimum_participation_margin_cny,penalized_change_cny,improves_initial_penalized,maximum_charge_end_soc,charging_actions_entering_taper_region,wall_seconds,error_type,error
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C136,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0011997089895885438,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C136's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C146,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012020840076729655,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C146's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C149,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012099169834982604,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C149's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C150,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012033750244881958,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C150's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C103,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012010419741272926,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C104,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012035830004606396,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C125,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015433749940712005,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C128,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014132499927654862,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C130,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001276249997317791,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T2:C138,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012293329928070307,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C098,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012217919866088778,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C098's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C100,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012142079940531403,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C101,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012106659996788949,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C101's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C118,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012195839954074472,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C118's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C137,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001211166993016377,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C137's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T1:C148,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001222708000568673,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C148's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T2:C117,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.00120749999769032,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T2:C119,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012211250141263008,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T2:C123,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001241083984496072,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T2:C124,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014400419895537198,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_3#T2:C126,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0013816669816151261,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C094,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012245000107213855,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C102,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001241916004801169,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C105,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001208583009429276,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C105's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C106,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001213000010466203,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C106's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C131,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001201291976030916,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C131's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T1:C142,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012003330048173666,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C107,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.00121366698294878,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C111,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012195830058772117,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C114,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001213000010466203,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C129,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012232919980306178,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C134,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0011956249945797026,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C139,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0016858339949976653,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_4#T2:C140,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014631669910158962,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C001,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.0001424160145688802,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C005,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00011320898192934692,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C006,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.0001058329944498837,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C013,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,9.787498856894672e-05,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C015,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0653297079843469,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C015's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C017,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00019116699695587158,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_dongguan_1#T1:C020,C020|C043,C020:6.58529035627|C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00013425000361166894,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_foshan_1#T1:C021,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00011491699842736125,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_foshan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_foshan_1#T1:C024,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,9.841701830737293e-05,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_foshan_1#T1 misses C043's time window
swap:CV_D_guangzhou_4#T1:C043<->EV_D_foshan_1#T1:C026,C043,C043:1.03288723259,REJECTED_CHARGING,False,,,[],,,,,,,,,,0.00010149998706765473,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_foshan_1#T1 misses C043's time window
