alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
2732.803960039656,59032,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-75c-01,2732.803960039656,38108,OK,tie,1,wc80,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
4635.703685132771,28719,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-100c-01,4635.703685132771,24964,OK,tie,1,wc80,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
408.6283967549251,384216,OK,80.0,vanilla,wallclock,-28.78478518398367,e2-vanilla-10c-01,573.7936728978657,147772,OK,alns,1,wc80,1,10,alns_e2_throughput,False,False,1,1,0.5,1
6015.377586977482,11447,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-150c-01,6015.377586977482,16101,OK,tie,1,wc80,1,150,alns_e2_throughput,False,False,10,1,0.047619047619047616,2
642.185285005708,312446,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-15c-01,642.185285005708,131059,OK,tie,1,wc80,1,15,alns_e2_throughput,True,False,2,0,0.0,1
inf,0,HALT_HARD_TIMEOUT,80.0,vanilla,wallclock,inf,e2-vanilla-200c-01,inf,0,HALT_HARD_TIMEOUT,tie,1,wc80,1,200,alns_e2_throughput,False,False,0,0,0.0,0
1155.0731809827587,174841,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-20c-01,1155.0731809827587,41497,OK,tie,1,wc80,1,20,alns_e2_throughput,False,False,2,1,0.25,2
887.3747488211219,108682,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-25c-01,887.3747488211219,27760,OK,tie,1,wc80,1,25,alns_e2_throughput,False,False,2,1,0.25,2
2320.739433561989,76973,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-50c-01,2320.739433561989,36916,OK,tie,1,wc80,1,50,alns_e2_throughput,False,False,4,1,0.125,2
3817.814283649194,53467,OK,80.0,vanilla,wallclock,0.0,e2-vanilla-75c-01,3817.814283649194,36109,OK,tie,1,wc80,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
