algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
VNS,1995.0,21,0,True,L-main-threeshift-150c-01,0,10152.913225917526,10152.913225917526,4,1995.0,12147.913225917526
VNS,3515.0,37,0,True,L-main-threeshift-150c-01,0,8412.637621457061,8412.637621457061,5,3515.0,11927.637621457061
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-150c-01,0,9213.710699949605,9213.710699949605,1,285.0,9498.710699949605
staged_hybrid_carbon_aware,95.0,1,0,True,L-main-threeshift-150c-01,0,9280.77825463509,9280.77825463509,2,95.0,9375.77825463509
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-150c-01,0,9138.547011688652,9138.547011688652,3,190.0,9328.547011688652
staged_hybrid_carbon_aware,1900.0,20,0,True,L-main-threeshift-150c-01,0,7648.198471662183,7648.198471662183,4,1899.9999999999982,9548.198471662181
staged_hybrid_carbon_aware,760.0,8,0,True,L-main-threeshift-150c-01,0,8850.516589431056,8850.516589431056,5,760.0,9610.516589431056
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-150c-01,0,9215.234913998243,9215.234913998243,1,285.0,9500.234913998243
staged_hybrid_carbon_naive,95.0,1,0,True,L-main-threeshift-150c-01,0,9281.78889238746,9281.78889238746,2,95.0,9376.78889238746
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-150c-01,0,9138.740298224797,9138.740298224797,3,190.0,9328.740298224797
staged_hybrid_carbon_naive,1900.0,20,0,True,L-main-threeshift-150c-01,0,7651.764346954276,7651.764346954276,4,1899.9999999999982,9551.764346954275
staged_hybrid_carbon_naive,760.0,8,0,True,L-main-threeshift-150c-01,0,8852.145635472643,8852.145635472643,5,760.0,9612.145635472643
GA,190.0,2,0,True,L-main-threeshift-15c-01,0,1112.1931681690623,1112.1931681690623,1,190.0,1302.1931681690623
GA,190.0,2,0,True,L-main-threeshift-15c-01,0,1112.1931681690623,1112.1931681690623,2,190.0,1302.1931681690623
GA,190.0,2,0,True,L-main-threeshift-15c-01,0,1117.8483685035485,1117.8483685035485,3,190.0,1307.8483685035485
GA,760.0,8,0,True,L-main-threeshift-15c-01,0,1126.4584368719059,1126.4584368719059,4,760.0,1886.4584368719059
GA,95.0,1,0,True,L-main-threeshift-15c-01,0,1090.9376892393198,1090.9376892393198,5,95.0,1185.9376892393198
LNS,760.0,8,0,True,L-main-threeshift-15c-01,0,1050.8542669302199,1050.8542669302199,1,760.0,1810.8542669302199
LNS,475.0,5,0,True,L-main-threeshift-15c-01,0,1021.8545301087881,1021.8545301087881,2,475.0,1496.8545301087881
LNS,665.0,7,0,True,L-main-threeshift-15c-01,0,1045.5068138400104,1045.5068138400104,3,664.9999999999998,1710.5068138400102
LNS,665.0,7,0,True,L-main-threeshift-15c-01,0,1045.5068138400104,1045.5068138400104,4,664.9999999999998,1710.5068138400102
